id	pop	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30
c1458	pop08	-0.26204	-0.81329	-0.15504	1.63227	0.35348	0.57651	0.40633	0.39567	0.23605	0.70704	0.08015	0.23101	0.86917	-1.84323	-0.91323	0.79834	1.40244	0.19778	-2.01246	0.8206	0.3359	0.74001	0.18526	-0.82485	-1.0356	-0.57295	1.02749	-0.2786	-0.18652	-1.40424
c4174	pop04	-1.30271	4.93948	-0.14659	5.98448	-0.00366	-0.55176	0.41853	-0.34101	-2.07876	1.07409	-2.05466	-0.20898	-1.12486	0.27333	-0.64874	0.37591	-0.38961	0.64028	-0.21592	-0.14484	-1.06107	0.25911	-1.45658	1.00697	-0.85402	-0.92172	-0.74513	-0.06461	-1.11352	1.52465
c1427	pop08	-0.06805	-0.02857	0.29822	-0.44662	-2.6762	-0.78147	0.71906	0.74709	-1.00032	-0.28288	1.03021	0.3501	-1.00113	0.96556	-0.60765	0.89044	0.50531	-1.55734	-0.95572	-0.00759	0.34839	-1.05348	-0.12781	0.39447	-1.18106	-0.4985	-1.17107	-0.62143	-0.29897	3.04123
c1330	pop08	1.24507	0.78143	1.16435	0.38397	0.01422	-0.53385	2.47861	-0.53194	0.08073	0.60211	0.65813	0.89433	-0.49853	-2.72228	-0.42956	0.67772	0.41475	0.5822	-1.4029	0.34738	-2.64225	0.00776	0.6944	0.56516	-1.50058	0.09296	0.19239	1.16869	-0.07464	-0.56758
c0931	pop08	-0.1927	-1.00092	-0.24668	-0.01678	1.27701	0.63028	-0.45373	0.83908	-0.18401	-0.47002	-0.10232	-1.56694	-1.06005	-0.97036	-0.76436	0.32644	0.8535	0.20997	0.93023	0.7986	-0.65821	-1.80402	-1.19901	1.77081	0.16305	2.51241	0.24494	-1.68447	1.45119	-0.09473
c1157	pop08	1.03672	-0.87187	0.15405	1.42088	0.41139	1.55074	0.83544	0.99578	-0.36726	1.3173	-1.26355	0.61361	-0.88727	1.03327	0.18042	0.68038	-2.0627	-0.2229	1.4809	0.72879	-0.07338	0.86432	-1.27901	-0.51778	1.1965	0.96824	1.81461	0.78867	-1.0264	-0.48949
c1577	pop08	0.42655	-0.77473	-1.34848	0.14895	-0.51668	-1.3333	-1.25667	-0.41654	-0.23248	-1.17768	-2.52128	0.80652	-0.89604	1.01371	0.53013	-1.7396	-1.81422	0.08073	0.46197	0.0342	-0.79627	0.0636	-0.48787	0.32532	-0.40615	-0.81513	-1.14262	-0.27909	-0.72308	1.43278
c1508	pop08	-1.26115	0.87932	1.28483	-1.56276	0.55802	-0.09924	0.80488	-0.83689	0.29575	0.14015	-1.87991	0.51923	0.14144	0.47926	-1.02057	-1.54573	0.85327	-0.24402	-0.11933	1.22315	-1.36703	-0.98476	-0.88893	-0.83411	0.752	0.90129	-0.03816	1.53899	0.23542	1.04977
c0792	pop08	-0.26101	0.27773	0.33241	0.82702	0.83783	0.36985	2.32203	-0.83808	2.03425	0.92026	0.8055	-1.28312	-0.31476	0.63275	-2.13595	1.41944	1.67783	0.85876	-0.69919	1.42384	-0.10437	0.21898	0.39144	1.08303	1.37226	0.00348	0.26258	0.1607	-0.73058	0.5983
c0200	pop08	-2.07824	0.6308	2.63683	0.03042	-0.37286	1.52375	1.88843	0.2926	0.52774	0.40109	-0.42932	0.85729	0.62246	-0.80928	-2.08912	0.51055	0.29151	-0.4371	-1.19043	1.20325	-0.88023	-0.17482	-0.1683	-0.0037	0.01284	-0.50882	-1.28336	0.06945	0.3934	-0.15731
c1089	pop08	-1.17937	-1.51339	-2.54437	0.39287	-0.43174	0.05692	0.1727	-0.20268	0.95324	-1.44091	-1.70762	-0.25103	1.59178	-0.33917	0.68729	0.40532	-0.47491	0.05731	0.4651	-2.23501	0.44773	0.68559	-0.12207	0.55871	0.7555	-0.91797	-0.69843	1.21627	1.30044	-1.9695
c4033	pop04	-1.02545	4.12092	0.40049	6.96595	-0.2737	0.49927	-2.81709	0.89063	-0.32563	-0.67871	0.46745	1.86426	0.74665	0.5519	0.34324	0.25242	-0.38102	0.66784	0.55069	0.87062	-0.67868	0.5876	-0.67031	-0.76797	1.08178	-1.43768	0.72557	1.30436	0.69235	-0.11366
c2615	pop02	5.26721	4.61529	0.58516	1.18176	1.312	-0.04499	0.78968	-1.20822	1.49039	-1.16547	0.05274	-2.36252	-0.21979	-1.85481	3.93633	0.04257	-0.42725	1.11936	-0.35304	1.69059	1.61388	-0.98574	-0.64794	-0.46919	1.98356	0.55337	0.26938	0.57701	-0.49964	0.60027
c4549	pop05	5.56609	6.21437	-2.20249	4.59681	0.02372	0.28074	-1.48259	0.12785	0.66943	1.17744	-0.21779	0.38965	0.96063	-0.10322	-0.27854	-0.6735	-1.06882	0.41478	-0.19424	0.3994	-0.17633	-0.46015	-0.18278	1.37665	-0.26428	1.16239	-0.30967	0.04476	0.83178	0.7859
c4134	pop04	-1.85565	4.55619	-0.328	4.35487	1.06989	-1.07297	-1.05935	-0.51412	-0.25638	0.36989	-0.77113	-0.68199	-1.86977	-1.12043	-0.21442	1.44961	1.62072	0.79901	0.87742	-0.81539	0.10283	-1.23077	0.52028	-1.14614	-1.31091	0.73851	-2.09903	-0.37806	2.82898	2.81605
c0228	pop08	0.67742	-1.71827	-1.28901	-0.61942	-0.07623	-0.42574	1.40517	0.22022	0.32507	0.96838	-0.41396	1.19693	1.03688	-0.37068	-0.77649	-0.24957	3.30162	1.22316	-0.07855	0.3975	-0.87006	-0.97444	-0.34783	0.23068	1.05677	0.78631	1.08096	0.73293	-0.01195	-2.29225
c2267	pop08	0.4194	0.56417	0.89725	0.89678	-1.3951	-1.7166	0.79346	0.37693	0.85359	-0.5302	-0.82807	-3.74579	1.10258	-0.15371	-0.6429	-1.30878	-0.82899	-0.73446	-1.66386	-0.11927	0.25932	-0.05787	-0.96721	0.00376	-0.45771	0.33823	0.28175	0.82562	-0.50325	-1.38858
c1318	pop08	-0.41121	-0.88084	0.50391	0.60532	0.52944	-0.3794	-0.82878	0.00525	-0.87966	-0.89	-0.84134	-1.4336	0.28983	-0.52044	0.12559	0.5783	-0.92159	-0.30362	1.03375	-0.84992	0.88376	1.75777	1.13798	-0.20876	0.18343	1.14874	-0.46556	1.41122	0.55543	0.81242
c1514	pop08	0.76887	1.91138	0.48131	-0.00476	0.10284	-0.66734	-0.20007	-1.76849	-0.6043	0.40968	0.67066	1.3365	-1.05576	-0.46649	-1.41336	0.75872	-1.64545	1.30589	1.36392	-0.63294	0.81787	-1.57722	-0.32783	0.11143	0.52652	-0.2087	0.60584	0.56744	-1.29199	0.52405
c2520	pop08	0.18559	-0.37122	-1.59625	0.03651	0.96871	-0.87811	-0.15846	0.66943	0.29462	-0.02745	-1.27921	-0.25803	0.6882	0.48323	-0.35064	0.51948	-0.43704	0.3447	-0.34073	1.36661	0.25839	-1.51113	-1.33934	-1.43954	2.30466	-1.7429	-0.38469	-1.24474	0.37599	-0.41611
c0900	pop08	0.75722	0.58696	-1.90491	0.72495	0.28844	0.88875	-0.25567	0.39696	-1.42688	0.87912	0.07866	0.63485	1.79527	-0.77149	0.87582	-0.35517	-1.33678	-0.50321	0.89343	-1.26179	-0.28503	-1.50098	0.26602	-1.50737	-1.44602	-1.05491	0.77028	-1.10743	0.53961	1.8111
c3772	pop04	0.74844	5.46777	-0.66237	3.85894	0.4847	1.43066	-0.53883	0.38424	-0.55538	0.99355	1.69474	-0.24655	-1.33793	-0.52979	0.11124	-0.29488	1.42326	0.48003	1.15819	-0.64858	1.95694	-0.61913	0.99345	-1.78109	0.78083	-1.2574	1.97461	-0.09666	-0.77452	0.67044
c0999	pop08	0.76085	-0.37124	1.45335	-0.86132	0.68331	0.85571	1.7915	1.80597	-2.49391	-0.11653	-0.01188	0.86571	-0.44046	0.53968	0.43028	0.07246	0.00344	-0.2573	-0.12846	0.98182	-1.15259	0.41858	1.43512	0.99923	-0.39143	0.25773	-1.65699	-2.72925	-1.65644	1.16149
c1285	pop08	1.0337	-1.0725	1.06776	0.32888	0.66201	1.32036	-0.50423	-0.06312	0.4478	-0.69551	3.16426	0.42924	-2.14276	0.62824	0.4112	-2.34971	-0.03789	-1.44266	0.40515	-0.85623	0.61167	-0.314	-2.44804	0.38347	0.88301	-0.70118	0.94198	0.17153	1.26266	0.72898
c4924	pop01	-1.22741	-0.09075	-0.07564	0.76317	5.18687	0.01636	-0.72966	-0.20946	0.58631	0.33607	-1.53965	-0.92424	0.63917	1.11548	0.13477	-0.10932	-1.55017	-0.96619	0.21423	-0.794	1.4881	-0.77374	1.10407	0.14325	-0.84102	-2.04918	-0.92824	-0.50864	1.74861	0.01288
c4006	pop04	0.97055	4.43352	0.02696	5.52485	-1.50354	0.30919	0.35417	-0.56134	0.99235	0.04222	0.51566	1.16344	1.14805	-3.08166	-2.43741	0.03337	1.62581	-1.22602	-0.45797	-0.24162	0.94934	0.12482	-0.50801	0.86384	2.36416	-2.01544	0.3441	0.30662	-3.54295	-0.36634
c2745	pop02	4.19943	4.47421	-0.03412	0.66926	0.62718	0.93673	1.38509	1.67211	-0.2048	-0.83274	0.53445	0.09596	0.54193	0.0292	-0.91986	-0.53419	-0.48995	-0.68667	0.72482	0.80727	0.61492	0.8233	-1.16689	-0.88117	-1.13768	-0.2953	-0.11866	0.41916	0.56863	-0.51362
c3206	pop04	-1.40017	5.81048	-0.52007	5.07094	-0.51624	0.24123	0.26778	-0.71828	-1.56211	0.4137	-0.04097	-1.02215	-0.08599	-0.8242	0.36956	0.32932	0.44279	-0.99046	0.80279	1.89421	-1.79422	0.17922	1.73118	-0.70477	-0.90613	-0.26511	-0.38595	-0.68777	-1.806	-0.12841
c1547	pop08	-1.00066	1.21638	0.31614	0.54931	1.50319	-0.13101	0.0617	1.39782	0.49806	-1.13623	-0.3857	0.34691	-0.85047	0.64903	1.49271	-1.34627	-1.34004	-0.0213	-0.28236	-0.21849	0.84469	-0.4117	-0.48328	-0.81212	0.09612	0.12801	0.39708	-0.8345	0.57276	0.48856
c3083	pop03	4.82082	-0.40661	3.88736	-0.4676	1.61793	0.70773	1.86272	-0.82433	0.249	-0.00528	0.01033	-1.96649	-0.4277	0.97904	-0.02134	-1.16324	0.57829	0.05316	1.11706	0.7619	0.86422	-0.06216	-0.80478	-1.04365	-0.75133	-0.35834	1.2857	1.66314	0.43367	0.0654
c1635	pop08	-1.67255	-0.34768	0.181	1.61276	-0.86065	1.10978	-0.05396	0.37369	-0.12155	-1.20766	0.28717	0.70302	1.51688	0.62279	-0.84626	0.95717	1.51211	-1.26085	0.45661	0.09322	0.19165	-2.02829	0.28115	-1.06875	0.51057	0.33188	-1.82088	-0.16777	0.2492	0.57679
c2488	pop08	-0.75824	0.4407	-0.42247	0.95585	0.14479	0.57105	1.22209	0.68159	0.00228	-1.44724	0.27731	1.10103	-0.50266	1.92799	-0.59661	-1.00649	-0.37453	-0.73607	0.99135	0.10008	-0.70386	-1.23831	0.16193	0.06515	-1.49389	1.90083	1.22675	0.60566	-0.93287	0.73886
c3355	pop04	-0.10287	4.50061	0.5903	5.48845	0.29848	0.66485	-1.3024	-0.03721	-1.02947	1.63777	0.43181	1.1854	0.58018	-0.48543	-0.8402	-1.08138	0.40328	-0.54249	1.13529	0.22453	-0.54244	-0.15942	1.87472	0.70448	-0.30942	-1.34264	0.28282	2.12093	0.75336	2.05948
c2403	pop08	-0.17931	0.62457	-0.00013	-0.4686	-2.07751	0.39466	1.21516	-1.5434	-0.66863	-0.44642	0.29608	1.57648	-1.22579	-0.6476	0.17678	0.17962	0.45664	0.17647	1.06288	-0.83692	-0.45321	0.69333	-0.74222	0.2405	0.31993	-0.35074	0.29564	-1.07186	0.79088	1.71097
c1208	pop08	0.3991	0.54683	0.8588	-0.38685	-0.35473	1.6078	1.95098	-0.30026	0.1029	0.08128	0.44746	0.01227	0.28173	-0.61322	0.09571	-0.44002	0.16679	-0.96647	-0.66981	1.04152	0.03043	1.54361	0.42881	1.78278	1.02899	0.32962	-1.25903	-1.00495	-0.11904	1.08851
c3790	pop04	0.90397	5.89007	-0.1652	4.13106	1.21991	0.6524	-0.75399	0.55702	0.053	1.20021	0.99628	-0.40346	0.44185	0.77814	-1.61058	-0.65466	-0.43123	-0.65823	0.37833	0.29503	0.42901	1.17576	-0.61533	-0.77221	-0.48945	-0.23756	-1.06967	-1.52419	-1.28826	0.96015
c0366	pop08	1.43457	0.41101	-0.1626	0.57799	-1.45019	-0.33658	-1.83926	-1.86475	-0.41448	0.92757	1.13036	0.37556	0.42881	1.59832	0.27335	-1.29538	-2.00148	-0.31465	-0.94164	1.12967	-0.50542	1.60468	-1.81649	0.49812	2.18563	0.06014	0.02476	0.40366	-0.63552	-0.60509
c1533	pop08	-0.2077	-0.71395	-1.21239	0.61369	-1.64063	-0.04657	-0.85488	-1.1887	-1.37256	0.97944	-0.08268	0.11942	-0.23902	-0.07601	0.5884	0.22604	1.0897	-1.06706	0.72392	0.15208	0.72298	1.46564	-1.63612	1.48188	-0.53602	-0.09899	0.05013	-0.47556	-1.12271	0.2758
c3550	pop04	-1.11767	4.51731	-0.62351	4.5862	-0.1233	-0.66927	1.66915	0.18781	1.41634	-1.59835	1.7693	2.27089	-1.87143	-0.21477	0.10873	0.50583	1.6556	-0.12346	-0.17782	0.66705	-1.76721	-1.61804	0.09855	1.08675	-1.1944	2.0022	0.67916	0.39006	0.9716	1.06165
c2496	pop08	-1.62266	1.03281	-0.07589	1.26223	1.6654	-0.30428	0.2887	-0.60063	-1.02017	-0.79267	-1.49578	0.08789	1.02512	0.54919	0.40107	-0.48726	1.57828	0.0272	0.45984	0.18737	-1.66791	-0.53787	0.73878	0.1673	-0.35399	0.98547	-0.78718	-0.95431	0.21443	-0.69952
c0757	pop08	-1.09152	-0.49804	2.11375	1.73871	0.42788	-1.32073	-0.04689	1.16681	-1.04198	0.19734	-0.58609	-1.37913	0.38423	-0.20057	0.20297	0.85725	0.26511	0.93827	0.24548	1.42316	0.16934	-0.20469	-1.34744	-0.4404	-0.32007	-0.36452	0.07244	-0.3693	-1.42985	-1.05517
c2492	pop08	0.84515	1.5141	1.61707	0.18999	-2.1745	3.28628	0.03519	0.12966	0.71998	0.24122	-0.8693	0.09292	-0.66143	-1.33073	0.77346	0.32634	0.87314	-0.97746	-0.28826	1.5585	-0.21995	1.19281	1.18705	1.20541	1.06297	1.51398	2.16172	0.58525	-0.2643	0.142
c2443	pop08	-1.13348	-0.30658	-0.18365	0.28351	0.84287	-0.44762	1.79759	-0.72235	-0.43194	-1.66677	0.97916	0.17692	-1.40429	-0.18548	-0.85738	-0.25551	0.59066	1.47945	-1.04949	-1.21398	0.14862	0.73013	0.59105	1.41652	-1.02738	-0.01049	-1.08744	0.79965	-0.03658	-2.53239
c3714	pop04	0.18376	5.53322	0.48163	4.40426	1.43643	1.31642	0.04936	-0.50445	-0.96402	-0.87564	-1.7347	-0.81538	-0.30077	0.61793	-0.55873	-1.05112	1.22772	1.07031	1.5255	1.39667	-0.25795	-0.51636	2.10784	-0.47782	-0.02029	-1.00553	0.08734	-1.01636	0.68887	0.36424
c0864	pop08	-0.95725	-0.07768	0.34269	-0.71907	0.22508	-1.00039	-0.5259	-0.07796	-0.53806	-0.84734	0.04359	-0.57223	-1.11804	0.36664	0.12046	-0.62938	-0.74365	-1.92119	0.83322	0.68585	0.9266	-2.20206	-0.54033	0.08288	1.0245	0.94924	-1.33758	0.46627	-0.19436	-0.63391
c4192	pop04	0.0181	5.10892	-1.1597	3.3773	3.33741	-1.72722	-0.87935	0.83645	-0.58841	0.11603	-1.52474	0.53528	-0.50736	-0.76087	1.75461	-1.6893	-0.43159	-1.1805	0.05791	-0.07405	-0.98793	0.06664	-0.88781	0.92901	1.06534	-0.29589	1.19333	0.39469	-0.14601	-1.22687
c4273	pop05	6.21173	4.10646	1.56652	4.05198	1.28229	1.07934	-1.5683	-0.05315	-0.00856	-0.47655	0.47131	0.46003	-1.09377	-1.56439	0.81385	0.53363	-0.0978	0.54845	1.46133	1.60712	1.60204	-2.26785	-1.49969	-0.23857	-0.66258	1.55572	-1.30034	-0.25265	-0.38806	0.51511
c0207	pop08	1.84246	0.63797	0.27528	-1.06758	2.14417	0.89525	-1.46897	0.3107	-2.58647	0.04506	-0.72941	-0.76763	-1.67257	-0.96586	-1.06948	-1.38949	-2.57107	0.77063	0.91596	-1.42768	0.7213	0.41602	-0.22113	-0.58364	-0.84321	0.51671	0.22448	1.01798	0.76044	-1.46983
c1567	pop08	0.98679	0.45598	-0.18304	-0.24201	0.45161	1.10688	-0.4204	1.42435	-0.51615	0.52872	-0.64642	0.43523	-1.49817	1.73405	-0.57014	1.25388	0.10397	-0.08513	1.39905	-0.62514	0.17957	0.75037	-2.26785	0.02354	1.5767	0.06678	-1.89261	0.16056	-0.06096	0.2118
c0068	pop08	1.36783	-0.3728	-0.56978	-0.9668	1.06882	0.26972	-0.47011	0.65199	-0.51084	-0.65984	-2.29672	0.98097	0.37882	-1.20104	0.01977	-0.12783	-0.3194	0.99754	-0.68028	-1.6648	0.52558	0.42041	-0.52905	-0.74356	0.82925	0.11955	0.0432	0.08097	-0.00493	0.32996
c1180	pop08	-0.82108	-0.17198	-0.45459	0.79931	-0.8338	1.36403	-0.53782	0.06376	0.65853	0.48703	-1.35706	0.20287	-0.70912	0.58761	0.23133	0.79944	-0.33046	-2.38488	-0.73807	0.59424	1.02428	-0.45011	1.27486	-0.26373	-0.84747	-0.32748	0.71189	-1.67077	-0.7605	-0.89116
c3487	pop04	0.49403	4.7875	-1.23193	6.23772	-0.09444	1.19124	0.17537	-0.11821	0.18797	-0.59645	-1.66542	-1.91802	2.28485	1.17152	-0.1239	-0.14061	-0.26553	0.96226	-0.81314	0.58605	0.55652	-0.67478	0.86633	-0.22838	1.40438	0.21338	-0.18395	-0.13558	0.61787	-0.19178
c1521	pop08	-0.22265	0.01875	0.30665	0.01315	-0.2762	1.08121	0.23858	0.04253	1.80965	-1.69537	0.83125	-1.30485	1.04852	0.20507	-1.17259	1.31626	-1.0076	-2.06068	-1.44147	0.96585	-0.64955	1.53411	1.52259	-0.14725	1.00573	-0.86138	-1.39943	1.19221	0.51996	-2.31168
c2509	pop08	0.2256	1.11489	0.33629	-0.89845	-0.80459	-0.37829	-0.43945	0.08431	-1.9512	2.27515	0.31732	-0.96001	-0.07182	0.86467	-0.17118	0.59277	0.68867	-1.82639	1.2759	-0.33867	-1.59678	0.56631	0.57309	1.31187	-0.86532	-0.31683	-0.33042	-0.80833	-0.55391	1.1792
c0255	pop08	-1.13637	1.12266	0.36504	-0.58182	0.90092	-0.04988	-0.1355	0.61908	0.03745	0.75302	0.45471	-0.35703	-0.65325	-1.015	-0.6479	0.6772	1.60299	1.5107	-0.91208	0.82406	-0.33901	-0.72783	-1.24087	0.04772	-0.39018	-1.05778	-0.20174	0.57054	0.25487	0.26603
c2784	pop02	4.98116	4.9358	-0.0105	-0.15547	0.97062	-0.42986	0.69461	-0.9775	0.17643	0.9093	-0.01004	0.58174	0.56412	1.3147	2.01513	-0.18727	-0.56435	1.69367	-0.34837	-0.5779	1.32958	1.42137	0.46693	1.36132	-2.15816	-1.04476	1.75843	1.05034	0.02027	-1.02408
c0599	pop08	-0.84927	0.61437	-2.11859	0.19119	1.75264	-0.23528	0.65915	2.11486	-0.2083	-0.03133	-0.40015	0.48132	0.47372	-0.34077	1.20777	1.25797	-2.61297	-0.66804	-0.12092	-0.05138	-0.67917	2.29402	-0.63814	1.54913	-0.25782	0.46898	0.658	-0.8474	-1.05025	-0.65092
c4401	pop05	6.24382	5.45994	0.19642	6.12475	-0.70796	0.58651	1.24013	-0.16387	-0.1729	-0.74957	0.51615	-1.697	0.96358	0.39994	-0.19184	-1.03438	0.38156	0.66009	0.04389	-0.53639	0.95453	-0.19314	0.95752	0.41083	0.75646	-0.96712	0.3229	-0.59299	0.98544	-0.2035
c0073	pop08	-0.36652	0.97133	0.56273	-0.34406	2.44954	0.21421	-0.04055	0.44452	-0.86328	1.61802	-1.45804	-0.27642	0.00734	-0.1324	2.57972	-2.63443	-0.53173	0.14373	1.09564	1.50534	0.4161	-0.76411	-1.38806	-0.0393	2.59909	-0.41455	0.04964	2.31058	0.46913	-2.23995
c3859	pop04	-0.69398	5.30588	-0.41762	4.20438	0.3933	-0.31187	-0.97443	0.66997	0.9062	-0.23001	1.18637	-1.16442	0.82744	-0.21424	-0.58202	0.89323	-0.31012	-0.06122	-0.25733	1.11009	1.69688	-1.93029	0.66746	-0.35726	-0.42722	-0.18833	-0.24003	0.20797	-0.52387	-0.81643
c0444	pop08	-0.94479	0.5467	0.5478	-0.37937	1.12857	-1.37651	0.6551	1.29322	-0.19157	-0.09918	-0.44784	0.05162	1.83194	0.28134	0.14041	-0.11209	0.24366	0.15874	1.463	-0.71389	-1.0906	0.47996	0.0868	-0.92614	1.3089	0.75275	-0.65239	0.78123	-0.38153	1.25984
c2558	pop08	-1.81616	-1.63374	2.48019	-0.77395	0.40271	-0.88351	0.55446	-1.22592	2.94561	0.5343	0.48295	0.5918	0.78461	-0.64705	1.17945	-0.73311	1.16133	-2.45277	1.30928	-1.1347	1.58721	0.18261	0.53701	0.8338	1.36642	-0.65761	-1.85279	-1.09708	1.39734	1.04452
c1893	pop08	-2.48342	-1.27266	-0.277	-0.87167	0.64677	1.69417	-1.20059	0.59879	-0.7052	-0.92315	1.07155	2.11108	0.20929	0.26872	0.35551	-0.40747	0.43476	-0.41003	2.28881	0.48246	0.90716	1.92627	-0.95035	0.71586	-0.44386	-1.20997	-1.38086	-0.34336	-0.19594	0.43963
c0345	pop08	0.10052	-0.79927	-0.68314	0.33146	1.2568	1.28642	2.8431	1.07446	0.51769	-0.37669	0.82815	0.50941	2.19765	-0.25089	-0.63007	1.56834	0.7999	0.22327	0.26727	-2.11144	-0.92249	-2.15127	0.92676	0.09875	-0.03759	0.16106	1.20302	-0.66582	0.30107	1.52005
c1579	pop08	-1.1166	0.58421	-0.94239	0.64387	0.19301	-0.7507	0.68929	-2.21441	0.37513	-2.06267	-1.35469	0.40197	-0.72375	-0.31008	0.88673	-0.6794	0.36725	0.08536	0.19122	-1.81298	0.71319	-0.92313	0.51188	1.424	0.52425	-0.05583	-2.08723	1.48052	-0.88372	-0.18806
c3290	pop04	0.75367	4.82826	0.23388	4.66147	-1.84982	0.36172	-0.02056	-0.88425	-0.71617	-0.00513	-0.93703	0.5483	0.20235	-0.19766	-1.41051	-0.01469	0.05549	0.43999	0.76606	-0.69162	0.58233	0.89124	0.43184	0.67098	0.26344	0.40549	0.64416	-1.27582	-0.10917	-0.99425
