id	pop	Mrk1	Mrk2	Mrk3	Mrk4	Mrk5
c4596	pop05	4.5844	6.32482	0.83371	4.58854	1.01225
c2371	pop08	-1.32557	-0.0594	0.81329	0.44692	0.77299
c1382	pop08	0.7094	1.08692	-0.20433	0.89135	0.48707
c1227	pop08	0.58798	0.31182	1.79761	0.16187	-0.75875
c2453	pop08	1.57313	-1.10553	-0.3762	0.5418	0.23882
c2422	pop08	-0.15885	-0.11139	-0.21883	-1.84679	0.66361
c1552	pop08	0.768	-1.93941	-0.37792	1.32165	1.03392
c4687	pop05	3.32827	5.82598	0.0991	5.35631	-0.04367
c3088	pop03	6.8451	0.38916	5.54646	-0.08727	0.53455
c0621	pop08	1.05757	-0.15492	0.64195	-1.51615	-0.3037
c2059	pop08	1.77914	-0.78691	-1.65253	0.83879	-1.10035
c4450	pop05	4.37983	4.20441	-0.02226	4.18806	-0.1566
c2276	pop08	-0.7814	-0.71737	0.15042	-0.74049	-3.14351
c4418	pop05	5.66731	5.56412	-0.01645	5.75953	-0.89569
c2907	pop03	4.27756	-1.66709	4.75198	1.81032	1.04856
c3072	pop03	3.21765	-0.77731	4.18898	0.60397	-0.43954
c4225	pop05	5.45634	5.00363	0.45334	3.15096	1.51633
c2444	pop08	0.66362	0.97198	1.72402	1.31729	0.61932
c4780	pop06	0.13148	4.79612	4.57768	0.79386	-0.39379
c1576	pop08	1.77288	-0.2061	0.3957	1.73119	-0.74338
c2339	pop08	0.18412	0.1705	1.03448	1.04759	1.12768
c1734	pop08	-1.34485	0.60183	-2.66789	-0.57173	0.55177
c3047	pop03	4.06394	0.32902	5.74762	-1.45096	0.56847
c3600	pop04	2.63991	4.15705	0.14691	4.50732	-1.59959
c2747	pop02	5.49967	5.03147	-0.83109	-0.27052	1.15197
c4759	pop06	1.09135	5.69654	3.79449	-0.29115	0.69883
c2799	pop02	4.40442	5.41539	2.59503	-0.56337	0.06445
c2130	pop08	1.24752	-0.83333	0.27578	-1.00806	0.38618
c1109	pop08	1.27279	-0.40373	0.94217	-0.35836	1.33532
c0399	pop08	0.01464	1.06559	1.76417	0.84719	1.63077
c4122	pop04	0.41561	6.47131	-0.83798	5.63668	-0.34512
c1138	pop08	-1.65556	0.12823	-1.50283	0.55478	-0.55181
c4788	pop06	-0.98697	4.75455	3.85946	1.1035	-0.96301
c2916	pop03	5.79993	0.68023	3.97479	0.40609	-0.30988
c4837	pop06	0.6726	5.9268	6.54834	0.7152	0.30478
c1819	pop08	-0.7173	-0.38077	0.47648	0.56269	2.01667
c2688	pop02	4.16012	4.8491	0.03455	-1.22626	0.14457
c2079	pop08	-0.50274	-0.153	-1.08847	0.62433	-0.47679
c2787	pop02	4.00446	5.48963	0.9659	-1.12704	0.26248
c2093	pop08	1.4107	0.5742	-1.17516	0.79283	1.03396
c1088	pop08	-0.44063	0.29448	0.1813	0.36814	-0.45994
c0411	pop08	-1.40779	-0.56424	-0.00475	-0.80422	-1.68731
c3082	pop03	6.96632	0.40977	5.26679	1.11021	-0.67261
c2084	pop08	0.5327	-0.36214	0.84357	-1.79828	2.5157
c0352	pop08	0.56247	0.32438	-0.83308	-1.2708	-1.26788
c3878	pop04	1.94268	4.89845	0.26614	4.68711	0.35774
c1572	pop08	0.47547	0.32622	0.82875	0.11823	-1.09595
c3658	pop04	-0.5345	4.35651	-1.62655	4.28624	-0.04936
c2822	pop02	6.42122	5.77656	1.14705	0.47992	0.41482
c3423	pop04	-2.31523	3.93299	1.92427	3.13643	-1.71907
c2062	pop08	-0.06904	-0.30365	1.27181	-0.84487	0.91786
c1659	pop08	-0.35996	-0.09113	0.25882	-0.87169	0.56609
c3663	pop04	-1.10422	7.55817	-0.92694	6.95816	-0.05169
c2046	pop08	-1.0584	0.8538	-0.3636	0.13561	-1.26451
c2706	pop02	7.20693	4.24377	0.34548	-1.75992	0.14251
c0561	pop08	-0.70087	0.60316	0.53056	-0.00318	-1.22973
c1461	pop08	-0.45759	0.63524	0.55298	0.44134	1.28721
c2308	pop08	-1.72325	-0.28718	-0.35299	1.1575	1.10953
c1662	pop08	0.69055	-1.03698	0.53677	-0.46537	-1.2541
c2895	pop02	3.69952	5.95451	1.01706	-0.22992	0.78225
c0367	pop08	-1.28584	1.13299	0.7698	1.02197	0.11376
c4605	pop05	5.92758	4.89714	0.64865	5.71871	-0.32395
c0107	pop08	-0.89626	-1.59098	0.60671	-0.6787	-0.26492
c4052	pop04	0.2273	5.77484	-2.31925	4.85219	-0.02408
c3044	pop03	5.08585	0.1434	4.6475	1.90494	-0.75697
c1493	pop08	-0.82986	-0.75433	0.19498	-0.39607	1.24065
c3573	pop04	-0.15147	5.69406	-0.41423	4.14449	-1.44614
c3074	pop03	4.35158	0.30573	4.27581	-0.09151	0.95446
c4774	pop06	0.62159	5.79943	4.70571	-0.15265	2.1076
c0617	pop08	1.53966	0.34129	0.23017	-0.97409	-0.18262
c4246	pop05	5.47374	4.76772	0.43361	3.08707	0.02283
c3894	pop04	0.54921	5.95681	-0.30598	4.89075	1.25762
c3949	pop04	0.75241	5.16984	1.41674	4.61533	0.08368
c4010	pop04	-0.20561	4.80251	-0.49626	4.13692	0.43247
c3520	pop04	0.68547	5.33775	-0.2594	5.2759	1.33723
c4721	pop06	-0.06788	4.54197	6.69697	2.01324	-0.45875
c3069	pop03	3.08899	-0.14537	6.87343	-0.81793	-1.61833
c3172	pop03	5.19325	-2.07088	5.89885	0.04459	-1.56395
c2536	pop08	-1.4963	-0.44847	0.05677	-1.13839	-0.95589
c1524	pop08	0.60913	1.06245	-0.52627	-0.9159	-0.00619
c3684	pop04	-0.70454	6.82753	-0.33436	5.80473	0.85985
c2525	pop08	-0.87648	0.30727	-0.66562	1.27202	0.17225
c3512	pop04	0.24346	3.87431	-0.07104	5.59666	-0.07631
c1475	pop08	-0.95543	0.62935	-0.24236	-1.66817	0.26069
c1938	pop08	0.72163	0.64086	1.23128	1.51293	1.37901
c0980	pop08	-0.67381	-0.63339	1.2088	-1.31696	-1.06182
c4723	pop06	-1.77455	6.0176	3.76608	0.58932	0.0719
c2713	pop02	4.84984	5.16876	0.83711	-1.00304	-1.75776
c1343	pop08	-0.68122	1.42058	-0.92282	1.04429	-0.49382
c0887	pop08	-1.82994	0.08663	0.45382	1.18508	-1.51533
c3629	pop04	-0.18989	5.32235	-0.29999	5.14529	1.76425
c4790	pop06	-0.3116	5.0871	4.92803	-0.62509	-0.69328
c4885	pop06	0.14048	4.47162	3.43234	-1.07085	1.53986
c3056	pop03	5.37604	0.36136	4.58844	0.41719	0.30011
c3352	pop04	-2.0487	4.0552	1.25032	6.78232	-0.1332
c2292	pop08	1.32589	0.21598	0.75433	1.41175	0.26741
c4066	pop04	0.67963	4.15683	-1.4298	4.16985	-1.5763
c2019	pop08	0.26444	-0.22494	0.25072	0.29309	-0.92266
c0151	pop08	-0.37724	-0.39338	1.41714	1.06907	-0.33852
c1234	pop08	-0.89732	-0.90548	1.23761	-1.24702	1.66367
c1600	pop08	-0.92183	0.89273	-1.24122	1.7238	-0.43589
c0638	pop08	0.0567	-0.82633	0.22406	0.58905	-0.20764
c2386	pop08	-0.24233	0.31777	0.00831	1.46322	-0.58745
c3830	pop04	-1.85118	5.22742	-0.62333	5.80969	1.18491
c1610	pop08	-0.92752	-0.88622	0.22883	0.63016	-0.17731
c2429	pop08	-1.10881	0.04842	-0.38305	-0.18672	0.20075
c2359	pop08	0.40516	1.64348	0.38684	0.37329	-1.30332
c3802	pop04	2.59272	7.91799	-0.0737	4.11043	-0.5476
c2704	pop02	5.16157	3.5438	-0.54145	-1.63102	1.10379
c0509	pop08	0.3545	-1.44792	0.23267	0.45371	0.20169
c3851	pop04	1.94485	4.24689	-0.20173	6.22489	0.37736
c2703	pop02	4.99128	3.96031	-1.30346	1.1575	0.81541
c1012	pop08	1.56513	-0.12509	-1.47057	-0.74605	-0.59857
c3571	pop04	-2.52996	4.67806	-0.88085	6.78359	-0.25999
c1464	pop08	-0.59183	-1.37563	-3.08761	-0.96567	-0.4906
c2332	pop08	-0.51153	0.01291	1.71732	-0.4746	-0.04436
c4713	pop06	0.97506	4.02629	5.28564	0.33636	-0.99815
c4859	pop06	-0.15418	6.28474	5.38706	0.75625	-0.96213
c1164	pop08	-0.34051	1.57015	1.24112	-0.58781	0.55027
c1034	pop08	-0.7762	-0.58414	0.27717	0.77875	-1.37594
c3279	pop04	0.03783	4.23205	2.20882	5.15458	0.77872
c4662	pop05	4.66406	3.28854	0.07836	5.39554	0.85455
c2269	pop08	-2.31957	0.67477	1.65017	-0.31301	0.87091
c3678	pop04	-1.58094	2.50842	-0.14321	4.93038	0.10364
c2730	pop02	3.38903	4.93966	1.10325	-1.38282	-1.30855
c4591	pop05	5.19609	5.92744	-1.74715	6.00935	0.11728
c3787	pop04	-1.82839	5.23558	0.78674	5.93288	-0.18803
c2527	pop08	-0.77433	0.33019	-1.3416	1.6	2.22164
c2834	pop02	5.66027	3.10731	0.52016	0.80937	-0.2525
c1253	pop08	0.12114	-1.03823	-0.18332	-0.03565	0.53024
c1327	pop08	0.79885	-0.1878	0.0287	0.81518	-0.19176
c0309	pop08	-0.44696	-1.11573	1.37838	-0.10442	-0.61736
c2672	pop02	4.65876	5.29843	-1.14056	0.4433	-0.62802
c1245	pop08	0.29041	1.74929	0.6238	1.48658	0.72853
c0016	pop08	-0.11029	0.77972	-0.88263	0.70772	1.09299
c2796	pop02	3.4596	4.76128	-0.66592	1.22446	-0.86063
c2466	pop08	-0.88892	0.14814	-0.01727	0.21496	0.1186
c4004	pop04	1.91601	3.93595	-0.00268	4.00225	-0.87961
c0141	pop08	-0.33404	-0.33289	0.43278	-0.1078	-0.09385
c2842	pop02	5.80512	3.66629	1.50569	-0.4744	1.11791
c1272	pop08	-0.14026	-1.12738	-0.51299	-0.55648	0.38386
c0572	pop08	-1.77147	0.76236	-1.68496	-0.91823	2.11534
c0477	pop08	-0.50403	0.5361	1.93104	-0.81364	1.22845
c3542	pop04	0.15585	5.51654	0.89788	6.14935	0.02289
c0076	pop08	-0.1534	-0.68712	0.41975	1.00091	-1.44248
c0235	pop08	0.31916	-0.83956	1.62333	-0.57613	1.20834
c3538	pop04	0.04992	5.04987	2.24019	4.40076	1.10536
c1690	pop08	-0.27986	1.36558	0.59472	-1.43731	-0.67999
c3590	pop04	0.59066	5.83618	0.22921	4.03237	-1.70992
c1778	pop08	1.02469	-1.95027	0.6027	2.01937	0.03296
c3780	pop04	0.80664	4.83118	0.77563	4.72986	0.33917
c0122	pop08	-0.78191	0.05406	0.65156	0.65303	-0.89865
c2393	pop08	-1.5866	-0.047	0.76244	-0.21663	-0.87261
c3880	pop04	1.3147	5.73425	0.42663	6.12109	-0.59259
c2573	pop08	0.05419	0.9418	1.8832	0.31218	-1.40643
c1260	pop08	0.22772	-0.80325	1.648	1.63021	0.51585
c1628	pop08	0.74005	1.70868	-0.20898	1.00628	-0.70268
c1743	pop08	-0.67545	-1.06312	0.93167	-0.2871	0.73712
c2026	pop08	0.29543	-0.85374	1.82863	-1.84747	-1.35829
c4334	pop05	7.21427	6.29921	-1.50711	4.83945	-0.38502
c3700	pop04	0.61419	6.19651	-0.15184	6.05547	0.37604
c3480	pop04	0.446	7.44685	-2.26654	3.67151	-0.55241
c1324	pop08	0.69928	-0.22704	-0.82745	-1.04577	0.8113
c2154	pop08	0.18693	-1.67311	2.29316	1.66845	-0.65402
c1356	pop08	0.45102	-0.09432	-0.33302	-0.31513	1.02358
c3281	pop04	-1.8202	4.0875	-0.35273	5.3008	-0.13974
c3867	pop04	0.25244	4.60647	0.52036	6.5085	-1.20005
c3086	pop03	4.20701	1.6003	4.14828	-1.4534	0.71004
c1948	pop08	-0.10445	0.4597	0.8391	-0.51526	-1.14855
c4482	pop05	4.43925	4.52909	-0.90444	3.54804	-2.31643
c1145	pop08	-0.34922	0.089	0.09603	0.40429	0.70913
c2865	pop02	3.67744	6.87519	-0.0605	-0.97559	-0.74908
c3567	pop04	1.53089	5.29293	1.21448	5.62349	2.04336
c3264	pop04	0.77947	2.56497	1.50908	4.95873	-0.33673
c0543	pop08	-0.6517	2.06636	0.32966	-0.45921	0.30952
c2991	pop03	3.88215	-0.2661	3.47639	0.87577	0.18014
c1453	pop08	-0.30549	-0.28243	0.49756	-2.2283	-0.73707
c1660	pop08	-3.12159	-0.80454	0.41481	1.1613	-0.51337
c4610	pop05	3.50995	3.91371	0.05505	5.57899	0.42648
c2532	pop08	-0.61307	1.50772	2.87138	-1.59497	0.71401
c2086	pop08	1.59545	1.75467	1.33119	-1.11838	0.49818
c4459	pop05	6.36377	6.58797	0.84056	7.9922	0.35169
c2125	pop08	-1.85552	1.07445	2.0063	-1.07919	-1.34337
c0895	pop08	-0.38141	-2.37796	0.04248	-2.01009	1.22954
c4654	pop05	5.53353	5.52614	-0.56641	5.31136	-0.71472
c2574	pop08	-1.53869	-2.59205	-0.27995	1.2242	-0.22315
c3607	pop04	-0.17043	6.71469	-1.20165	3.95606	0.97445
c4284	pop05	5.16421	5.12286	1.97484	5.33376	-0.66908
c4995	pop01	-1.2131	1.20486	-0.72619	1.13657	5.50795
c1910	pop08	-0.18729	-1.54244	1.6531	-1.35948	-1.29889
c1911	pop08	1.28729	-0.16407	-1.66599	0.16704	-0.25418
c0685	pop08	-1.11524	0.52571	0.2992	-1.69508	-0.42825
c0922	pop08	-0.41127	-1.26874	0.17495	0.66105	-0.37239
c0901	pop08	-2.87404	-1.13	-0.17359	0.3831	0.12004
c1913	pop08	-1.22116	0.48097	0.83803	0.41354	-1.25091
c1631	pop08	-1.92779	0.00989	0.30462	-0.23288	0.4248
c3907	pop04	0.5833	6.20514	0.15175	4.85596	-1.11476
c0929	pop08	-1.32726	-1.17446	2.34197	-0.79013	-1.73608
c4975	pop01	-0.17537	1.02934	1.82049	-0.76288	4.84638
c1859	pop08	-0.20099	0.6307	0.23017	-0.83616	0.52133
c0717	pop08	-2.66135	-0.68824	0.26057	1.55356	0.85757
c1587	pop08	0.96992	0.93229	-2.15313	0.23428	0.90255
c1717	pop08	-0.47345	-0.83652	1.3372	-0.32655	1.35126
c1998	pop08	0.24775	-0.37674	-1.69912	-0.262	-0.30743
c0871	pop08	-0.03994	-0.22769	-0.08163	-0.02839	0.3973
c3075	pop03	5.76527	0.76641	5.19502	-1.67833	0.98242
c4300	pop05	5.80387	4.37621	-1.12005	4.56633	-0.58181
c3428	pop04	0.78272	5.60703	-1.37629	3.52278	0.9118
c4120	pop04	0.81786	3.34333	2.32152	6.57645	-0.79213
c4451	pop05	4.82481	3.86678	-0.46708	2.81255	1.98512
c0910	pop08	-0.36127	0.66722	0.1494	-1.09935	-0.35311
c2206	pop08	-0.74427	0.84865	0.94835	1.60584	0.71269
c1801	pop08	-0.53222	-1.34632	0.01699	-0.0813	-0.01409
c1746	pop08	-0.95712	0.56876	0.44655	-2.06456	-0.0533
c0130	pop08	0.2263	-0.78933	0.1576	1.71252	-1.14336
c4333	pop05	4.98769	4.16262	1.3171	4.55213	-1.70603
c1914	pop08	0.80202	-0.1871	-0.66833	-0.61048	-1.29055
c4455	pop05	5.22751	6.06185	1.42012	5.92282	-0.69149
c1268	pop08	-0.35559	0.96257	0.91133	-0.81809	-0.56106
c2410	pop08	-0.29854	2.36923	-1.10091	-0.67739	0.81466
c4556	pop05	3.63515	3.28519	0.50842	3.6048	-0.5079
c1722	pop08	-1.42528	1.12505	0.05154	-1.88937	-0.74971
c1446	pop08	-0.87743	1.04776	0.02485	-0.98414	-1.08392
c0160	pop08	-0.39013	-0.34177	-0.61037	-1.66293	-0.61866
c3107	pop03	5.55224	0.72699	6.72243	0.79438	-1.13989
c4285	pop05	4.34985	4.71796	0.68142	5.34148	0.07356
c0210	pop08	-1.11445	-0.10199	-2.23274	2.31044	0.21967
c0936	pop08	0.46536	0.0357	1.10645	-0.25784	-0.2635
c3457	pop04	-0.83331	5.06379	1.90766	4.95918	-1.33005
c0607	pop08	1.10695	0.87178	-0.37382	-0.60684	1.44832
c3295	pop04	-0.05418	4.15928	0.30174	5.26646	0.5394
c4641	pop05	3.61159	4.58468	0.76951	5.33755	0.20367
c4385	pop05	6.52064	6.01951	-1.28371	5.50209	-1.41555
c2754	pop02	5.09157	4.24561	1.53005	0.66221	-0.14237
c3396	pop04	-0.16751	3.81232	1.0594	3.73539	-0.61582
c2260	pop08	0.81769	0.37508	-0.06601	0.98568	1.07546
c3565	pop04	0.99753	5.79779	1.23825	5.15611	-0.90479
c0015	pop08	0.95949	-0.99862	-0.46549	-1.65936	0.2138
c2589	pop08	-1.18791	-0.56548	-1.18781	2.30443	-0.58009
c2135	pop08	-0.49443	1.10425	0.26598	0.50099	-0.30965
c1529	pop08	1.08744	-0.09181	-0.74901	1.2329	0.21489
c3874	pop04	-0.74535	5.81346	1.38033	4.61171	-0.10921
c4532	pop05	4.13468	3.142	-0.23698	5.48187	0.72431
c3061	pop03	5.74771	-0.94845	5.32969	-1.75518	-0.75633
c1083	pop08	0.29919	0.04163	-0.04221	-0.91237	-0.83926
c3795	pop04	0.90544	3.99028	-1.24362	5.34714	-0.12668
c3357	pop04	-1.09162	5.55669	-0.32286	3.14681	-0.40398
c4521	pop05	4.24098	3.39749	0.84177	6.10052	0.08557
c1228	pop08	0.06373	1.25197	0.08245	-1.29976	-1.75337
c4068	pop04	1.75385	5.44967	0.2862	3.8863	0.78417
c2258	pop08	0.68588	-1.40939	0.18071	-0.81111	0.70991
c1414	pop08	0.6131	1.67565	0.67068	1.12912	0.64205
c1828	pop08	-1.66286	-1.14043	-0.19072	-0.23806	-0.14335
c4795	pop06	2.58317	5.24281	5.14983	-0.42616	1.15707
c0467	pop08	-1.94161	-0.09369	-0.23796	0.25292	-0.46274
c4709	pop06	-0.11364	4.34343	4.72014	0.31496	0.63707
c3040	pop03	4.2777	-0.43909	3.78588	0.03291	-0.99222
c1365	pop08	-0.91492	-0.64663	-0.39678	-0.72213	1.08525
c0952	pop08	0.21078	-1.96665	-0.70279	3.24659	-0.43392
c0010	pop08	-0.89004	1.79031	0.08779	0.8397	-1.26914
c0498	pop08	0.50632	0.2222	0.5237	1.29814	-0.20323
c0992	pop08	-0.89747	-0.46566	0.87053	1.39373	-1.21338
c0532	pop08	0.7146	0.46814	-1.12675	0.07503	0.29815
c3171	pop03	5.24875	0.00598	5.51307	0.66067	-0.55701
c0892	pop08	1.06451	0.44536	-0.34364	0.51794	1.26408
c4543	pop05	4.05748	4.81656	-0.47029	3.84245	-0.44194
c4367	pop05	5.01858	5.56918	1.94708	5.56	0.32433
c3189	pop03	5.95693	0.6162	4.56934	-0.79988	0.93296
c3411	pop04	-1.38422	5.89963	-0.39657	4.82369	-0.2234
c3376	pop04	1.11365	5.22499	-0.87537	5.75737	0.08155
c3007	pop03	3.88712	1.80294	5.58925	0.11179	0.77111
c0770	pop08	1.02989	0.42369	-1.05788	1.21804	-2.97667
c4252	pop05	5.41506	6.63993	0.30064	6.00423	-1.44977
c2600	pop08	1.25816	-0.21115	-0.17372	-1.52375	0.76872
c2470	pop08	0.49964	0.44424	1.18308	0.2285	-0.31654
