id	pop	Mrk1	Mrk2	Mrk3	Mrk4	Mrk5	Mrk6	Mrk7	Mrk8	Mrk9	Mrk10	Mrk11	Mrk12	Mrk13	Mrk14	Mrk15	Mrk16	Mrk17	Mrk18	Mrk19	Mrk20	Mrk21	Mrk22	Mrk23	Mrk24	Mrk25	Mrk26	Mrk27	Mrk28	Mrk29	Mrk30
c2907	pop03	4.27756	-1.66709	4.75198	1.81032	1.04856	-1.57079	-0.15712	-1.6617	0.30409	0.25649	-1.4615	0.18171	-2.41603	-0.71727	-0.31806	-1.24263	-0.95507	-2.55347	-0.05778	0.74478	0.17377	-0.35422	-0.93073	0.02745	1.746	-1.23854	0.98624	1.20481	-0.32468	-0.66505
c4225	pop05	5.45634	5.00363	0.45334	3.15096	1.51633	-0.74729	0.94801	1.10887	-0.68887	0.04452	-0.23338	0.27917	0.86586	-0.084	-0.94654	0.3761	-0.43827	0.13961	1.5505	0.86018	0.74222	0.9141	-1.02622	-0.95983	0.89634	0.62219	-0.21772	1.6324	0.57215	0.04476
c2799	pop02	4.40442	5.41539	2.59503	-0.56337	0.06445	-1.9682	-0.0726	0.33634	0.30476	-0.61605	1.6059	-1.49959	-0.03874	0.65025	-0.03044	-0.73735	0.05112	-0.6553	-0.5424	-0.31821	-0.59418	0.72851	-0.56457	-1.11427	-0.43249	-1.77681	-0.23893	-0.42922	-0.43398	0.13339
c4788	pop06	-0.98697	4.75455	3.85946	1.1035	-0.96301	-0.78002	-1.42597	0.89872	1.24495	-0.6158	0.23486	0.08157	0.69082	0.37207	0.9396	1.84755	0.82967	1.32918	-0.57884	-1.28709	1.18505	-0.0049	0.563	1.60891	0.50044	0.33461	1.47491	0.55533	-0.53187	0.01467
c2916	pop03	5.79993	0.68023	3.97479	0.40609	-0.30988	-1.42569	-1.83632	-0.35217	-0.56568	1.29355	1.33256	-0.82949	0.37884	-1.79891	-0.00045	-1.17231	-0.00742	0.72904	-0.51569	1.25883	0.6893	-0.83392	-1.12894	0.13578	0.05444	0.73912	-0.1722	0.15412	0.52658	-1.0983
c4837	pop06	0.6726	5.9268	6.54834	0.7152	0.30478	0.97591	-2.06933	1.17058	1.28995	2.87684	1.92772	-2.63987	-0.42051	-0.01277	-0.12881	0.79432	1.72709	0.67229	0.64988	-1.64885	0.01213	-1.96946	-1.23801	-1.54795	0.45467	0.25683	0.09884	-1.80586	0.35947	0.0373
c2787	pop02	4.00446	5.48963	0.9659	-1.12704	0.26248	0.23757	0.31345	0.63381	-0.8424	-0.46845	1.07642	-0.58749	-1.32415	0.61431	1.12916	0.8272	-2.06803	0.5862	-0.78151	0.76816	-0.91019	0.47838	-0.99175	-1.87367	0.37157	-0.4605	-0.85516	0.81914	0.71948	0.76055
c3082	pop03	6.96632	0.40977	5.26679	1.11021	-0.67261	1.02094	1.0206	0.17898	1.13804	0.87227	1.8517	-0.34034	0.78152	-1.08466	-0.18436	-1.45701	1.0585	-1.06651	0.54012	0.60128	0.3973	1.02367	-0.52247	1.18432	-0.53481	1.26095	1.95127	0.67419	-1.33297	0.60253
c2706	pop02	7.20693	4.24377	0.34548	-1.75992	0.14251	0.13728	1.27288	-1.12728	-0.64638	0.07658	0.14498	0.62696	0.44135	0.5197	-0.43075	-0.68193	0.48108	0.70136	0.65838	-0.19893	0.00718	-0.81102	0.26837	-0.2741	0.74321	1.89976	-1.34665	-0.58669	-0.70748	0.83543
c3044	pop03	5.08585	0.1434	4.6475	1.90494	-0.75697	-0.044	-0.94581	-2.17139	1.58752	1.44204	1.0062	0.88207	-0.64983	-0.50417	-0.24536	0.83853	1.51771	1.96672	1.96685	0.71097	0.26909	-1.06711	1.26977	-0.12899	0.58983	-1.43103	0.88858	0.47842	0.55512	0.00536
c0617	pop08	1.53966	0.34129	0.23017	-0.97409	-0.18262	0.21784	0.49499	-1.64677	0.70087	-0.0662	0.03622	-1.4303	1.41826	-1.5133	-0.03134	-0.66057	0.22867	-0.87674	0.66704	-0.35948	0.20953	0.00199	0.51641	-1.7568	-1.16381	-0.80281	-0.27625	0.28323	0.01675	0.02015
c4721	pop06	-0.06788	4.54197	6.69697	2.01324	-0.45875	-1.06644	-0.89193	-0.68209	0.50047	-0.9438	-0.46394	0.48677	1.53707	-1.29489	-0.74635	-1.27355	1.04321	0.13759	-0.62755	-0.44893	1.03072	-1.29552	-0.92484	0.08019	0.35864	-1.26708	-1.98455	1.84746	-0.63436	0.01841
c3172	pop03	5.19325	-2.07088	5.89885	0.04459	-1.56395	-1.01506	2.49939	1.43296	-0.59504	-0.66445	0.84712	-1.13924	-0.47974	-0.33937	1.19214	-0.40249	-0.38657	-1.1715	-0.6232	-1.30195	-0.69412	0.59396	1.12012	0.36552	0.44976	0.34075	-0.51386	-1.77906	0.12939	0.62738
c4723	pop06	-1.77455	6.0176	3.76608	0.58932	0.0719	-0.43013	0.72969	-0.70945	-1.59674	0.70385	-1.46185	-1.84578	0.25868	-1.49214	-0.66272	-0.4762	-0.33509	-0.37374	-0.25322	-0.6845	0.18457	-1.11407	1.14921	0.15678	0.51685	1.32582	-0.67376	1.61156	-0.97976	-0.08054
c4885	pop06	0.14048	4.47162	3.43234	-1.07085	1.53986	0.34784	1.19868	0.6511	-0.58014	0.78106	1.64217	0.71019	1.62687	-1.35389	0.69936	-1.11446	1.5824	-0.09539	0.36189	0.98736	-0.19042	-0.8555	-1.6329	-0.18709	-0.35949	-1.72309	1.54975	-0.02241	1.62202	-0.58964
c3802	pop04	2.59272	7.91799	-0.0737	4.11043	-0.5476	0.3216	0.56075	0.32953	0.05208	-0.46258	0.49753	0.344	-0.91519	0.45654	0.41588	0.94083	-0.38873	-0.30079	1.35966	-0.45277	-0.2014	0.6691	1.11953	0.25978	0.76222	0.83531	-1.88672	-0.51021	-1.24639	0.00383
c3851	pop04	1.94485	4.24689	-0.20173	6.22489	0.37736	-0.03589	0.13752	-1.04375	-0.76389	0.71561	-0.57486	0.18817	0.28602	1.1279	0.99309	-0.49529	0.48922	-0.91067	-1.40757	0.24912	0.38091	0.30352	-0.27214	1.00044	0.68787	1.01199	1.0502	0.14154	0.38834	-0.58647
c2703	pop02	4.99128	3.96031	-1.30346	1.1575	0.81541	-0.46146	-1.56456	-1.48523	-0.02442	-0.70031	-0.30396	1.92088	-1.38031	-0.72504	1.3724	-0.96921	0.24398	0.32234	-0.72247	-0.52567	-0.24459	0.45334	0.04073	-0.21256	-0.12578	3.13889	0.38933	0.2773	0.12292	0.5157
c2332	pop08	-0.51153	0.01291	1.71732	-0.4746	-0.04436	0.03449	-0.60249	-0.84206	0.493	0.08255	-1.42601	0.08945	-1.25725	0.08707	0.1571	-1.1979	-0.39215	0.90421	-0.09459	-0.23595	1.46398	-0.08514	-1.93876	0.13631	-1.1993	0.01719	-1.62709	-1.27406	-1.04703	-0.19594
c1034	pop08	-0.7762	-0.58414	0.27717	0.77875	-1.37594	0.45232	-0.08859	-0.23719	0.25688	0.30868	-0.01553	-0.24676	0.11306	1.03872	-0.31968	1.06776	0.3891	1.48911	-0.1541	-0.9308	-1.83742	0.84928	0.98415	-0.29069	-2.51107	1.47336	0.69819	-1.68893	-0.6928	-0.30664
c4662	pop05	4.66406	3.28854	0.07836	5.39554	0.85455	2.23666	2.00457	0.10644	0.4933	-0.41433	-0.37204	0.32161	1.2143	-0.70251	-0.85182	1.19843	0.46885	0.46961	0.37895	0.917	-1.71366	-0.55584	-2.92351	-1.8535	-0.29086	-2.56707	1.28061	-0.20369	0.46348	0.95615
c2796	pop02	3.4596	4.76128	-0.66592	1.22446	-0.86063	0.17878	0.88532	0.06268	-1.22038	-2.72264	0.6873	0.09187	0.12894	-1.11416	0.26025	1.21076	-0.99359	1.02679	0.46087	-0.35428	0.63424	0.41794	0.49217	1.23145	-0.49841	-0.73981	0.72305	-1.34845	-0.47824	-0.03934
c1778	pop08	1.02469	-1.95027	0.6027	2.01937	0.03296	-0.54603	0.96917	-1.53608	-0.8246	-0.33539	0.30405	0.19328	0.46773	0.16159	1.79904	-2.02232	-0.3641	-0.21099	0.96891	-0.80104	-0.56215	0.0793	0.80044	-1.10959	-1.38426	0.4686	0.03714	0.48149	-0.64453	2.16191
c3086	pop03	4.20701	1.6003	4.14828	-1.4534	0.71004	2.56976	-1.1567	-1.65305	0.38429	1.99796	-1.0379	0.23679	-0.74397	0.62644	0.14402	-1.66778	-0.65518	1.13408	-0.58638	-0.58844	1.34535	1.72972	-0.20022	0.95661	0.79746	-0.70521	0.89658	0.02731	-1.1348	0.98498
c4654	pop05	5.53353	5.52614	-0.56641	5.31136	-0.71472	-1.57764	0.69791	-0.27649	-0.05753	0.04688	0.88992	-0.25697	-1.84454	0.71847	-0.41878	-0.19996	1.90823	-0.41708	-0.04735	0.37411	0.14511	0.52275	0.18446	-0.31617	0.22772	-0.71021	0.13005	-2.05987	0.97733	-0.04911
c4995	pop01	-1.2131	1.20486	-0.72619	1.13657	5.50795	1.4512	-0.98772	0.89146	-0.58552	-2.13604	1.06405	0.94437	-0.05924	-0.07603	0.01646	0.90802	1.76471	1.09735	1.35526	0.10898	-0.22517	-1.0386	1.97003	0.61259	-0.45562	-0.3838	1.49864	-0.53981	0.62911	1.74621
c1631	pop08	-1.92779	0.00989	0.30462	-0.23288	0.4248	-0.64704	-0.50634	-0.23649	0.48701	-0.72278	0.21245	-1.35406	-0.12287	0.50341	-0.15218	-0.59201	0.1295	-2.77233	0.94977	0.64595	-1.10066	-1.27112	1.34755	0.3037	1.06996	0.21368	-1.42857	0.85039	0.71482	-0.49469
c4975	pop01	-0.17537	1.02934	1.82049	-0.76288	4.84638	1.29017	-0.09628	0.49799	0.27121	0.19576	0.02	-1.05488	-1.13974	-1.10764	0.2089	1.41398	-0.18506	-0.86466	-1.30177	-0.93321	1.14334	-1.59143	0.27503	0.572	0.40614	0.64851	0.31868	1.48713	1.19732	0.11047
c4451	pop05	4.82481	3.86678	-0.46708	2.81255	1.98512	0.06396	0.77763	-1.00474	-0.14208	-0.1777	0.93912	-0.43464	0.15212	0.35896	1.26637	-0.17169	-1.54887	-0.10928	0.2137	1.28679	-0.40844	-0.79062	1.33931	-0.13089	-1.61158	-0.40164	-0.04767	1.46248	0.01574	0.52561
c3457	pop04	-0.83331	5.06379	1.90766	4.95918	-1.33005	0.46236	0.67831	-0.36508	2.43936	-0.92348	-0.25106	-1.86885	0.371	0.88422	-0.18509	-0.59321	1.05878	-0.44748	0.20364	2.08082	-0.80769	-0.61259	-0.83117	-0.08013	-0.22596	-0.87754	-1.36252	-0.15109	-2.17196	2.02004
c3295	pop04	-0.05418	4.15928	0.30174	5.26646	0.5394	0.6483	-0.17245	0.67133	1.45546	-0.67918	0.26373	1.10268	0.10269	0.90676	0.73216	-0.17003	0.21021	1.29142	-1.36035	2.02138	-0.81597	-1.14022	1.05225	-0.58666	-1.76222	-0.16802	-1.27984	-0.60569	-0.70924	-0.26605
c4641	pop05	3.61159	4.58468	0.76951	5.33755	0.20367	1.88876	0.33694	-1.74991	-0.20264	0.04225	0.71461	0.99269	-1.06182	-1.7033	-0.7044	0.11636	-1.9431	0.7987	-1.10229	1.92447	1.71964	0.86439	1.8677	-2.57336	-1.13061	0.25252	0.98093	0.08663	-1.36979	-1.01771
c2754	pop02	5.09157	4.24561	1.53005	0.66221	-0.14237	-0.09258	1.48675	0.82953	-0.97024	-0.05467	0.3801	-1.0221	0.63383	1.64114	1.55336	-0.10649	-1.12164	0.4989	-0.72876	0.21151	-0.78889	-0.18129	0.636	-1.49297	-0.64466	0.30951	0.36394	-1.92824	1.57792	1.79268
c3874	pop04	-0.74535	5.81346	1.38033	4.61171	-0.10921	1.91778	-1.08586	-0.70118	0.10611	-0.17065	-1.21072	-1.42982	0.30945	1.12114	-0.34728	2.10971	0.02832	-0.54785	-1.0932	-1.12088	0.00676	0.31698	0.23705	0.37641	0.59545	1.99673	-1.68087	0.37766	0.63613	0.1915
c1414	pop08	0.6131	1.67565	0.67068	1.12912	0.64205	1.5725	-0.26434	3.95064	1.85911	1.14035	-0.64704	1.26579	1.48976	0.17962	-0.57294	0.32366	0.24748	-0.37146	0.44995	0.5174	-0.4547	-0.69913	-0.58355	-0.13236	-1.55697	2.49004	-1.35712	-1.50953	-0.1153	1.16314
c4709	pop06	-0.11364	4.34343	4.72014	0.31496	0.63707	1.53799	1.11271	1.63376	0.6648	0.31459	1.73671	-0.53097	0.27761	-1.29485	2.00331	0.85667	0.71178	-1.76287	2.47342	-1.75208	0.40647	-0.28479	0.83002	0.22207	1.44246	-1.1502	0.74516	-0.90581	-0.37092	0.34329
c3040	pop03	4.2777	-0.43909	3.78588	0.03291	-0.99222	-0.76204	0.46659	-0.88984	1.29913	1.40456	0.14017	-1.76744	0.31573	-0.5301	-1.03816	1.03468	0.84081	-0.35135	-1.26994	0.37832	0.62456	1.63006	1.10972	1.42436	0.63989	0.45294	-1.7101	0.5059	0.20647	1.00369
c4543	pop05	4.05748	4.81656	-0.47029	3.84245	-0.44194	0.70224	-2.7772	0.69123	0.78071	-2.25481	2.3314	-0.82593	0.09631	-0.65001	0.51108	0.79041	0.12001	0.37724	0.27742	-0.92889	-0.86849	0.05869	0.02788	1.311	2.38743	-1.8442	-2.3089	-0.22504	0.34633	1.30395
c4367	pop05	5.01858	5.56918	1.94708	5.56	0.32433	0.56918	0.66107	1.23789	0.83903	-0.63269	1.27464	-0.25822	-2.39	0.02106	-0.32934	0.591	1.04229	0.77837	1.15131	-0.11604	-0.58545	0.83438	2.34793	-0.30134	-0.82559	1.55117	0.36306	-0.3614	-1.40972	-2.1116
c3376	pop04	1.11365	5.22499	-0.87537	5.75737	0.08155	-0.13192	-0.20317	-0.17401	-0.02749	-0.32667	0.19322	-0.65935	-0.97148	-0.57837	-0.79051	0.06212	0.27568	0.38684	2.1178	1.25454	-1.02325	-0.71569	-0.75872	-0.56277	0.88528	-1.08472	-1.21465	0.16183	-0.1003	-0.26411
c3157	pop03	6.54222	0.24441	5.13442	-0.30994	-1.76469	-0.22395	0.24449	0.3908	1.78328	-0.86371	0.8362	-0.98432	0.1735	0.17656	0.1406	1.95055	-0.06295	-1.02457	0.89573	1.25662	0.53239	-0.31198	1.07473	0.91204	-0.50478	1.11632	-0.52052	-1.1173	1.86013	1.49772
c4705	pop06	0.655	4.78941	3.64999	0.51179	-0.15443	-0.01984	-1.63427	-0.0282	0.03524	-1.07154	0.56161	-0.59055	-0.12987	1.44101	0.91871	1.60998	-0.56094	-1.8783	2.09849	0.85038	0.06104	0.16615	1.01492	0.60327	-1.48334	-0.18876	1.81903	0.51319	-1.18528	0.94653
c2858	pop02	5.02882	4.57597	0.51773	-2.71481	0.00658	1.58883	-1.35284	-1.41556	-0.70706	-1.659	-0.59684	0.41957	-0.28156	-1.0586	0.44074	-1.38381	-1.01057	-0.81077	1.80654	0.62299	-0.25447	0.63889	0.68799	2.19606	0.64014	-0.95954	0.2264	1.1694	0.58797	0.58955
c4688	pop05	4.38746	4.28759	-0.89272	3.5496	0.71983	-0.83781	0.72926	1.00683	-1.3262	-0.58758	-1.41324	0.86584	0.11961	-0.09326	-0.3101	-0.41697	-1.64498	0.7392	2.2288	0.62385	0.10853	-0.65726	0.58996	-2.01333	-1.61456	-0.37767	0.9414	-0.07039	0.02716	0.22643
c4888	pop06	-0.67573	4.5121	5.44917	-0.58218	-0.29175	-0.43221	-0.19693	1.20672	0.55934	0.56043	2.56519	0.45798	-1.44098	-1.05094	0.11111	0.27969	2.77705	-0.82701	0.47223	-1.37105	-0.76668	-1.10292	-0.24875	-1.08667	-2.34918	1.80095	-0.41658	0.92163	0.95973	1.32299
c3552	pop04	-0.25357	5.17361	1.1753	6.61615	0.92566	1.99071	-0.18567	-1.25293	0.54556	-0.34792	0.09284	0.09142	-0.26216	0.69052	-0.41934	-0.8866	-0.4911	0.47078	-0.42328	-0.29884	-0.49539	-0.21025	2.14154	0.51069	-0.36184	0.93419	0.22465	-0.41618	1.43447	0.58534
c4267	pop05	4.08598	4.71171	-0.58121	5.5019	0.52272	-0.33263	-0.13396	0.50742	1.72091	0.91454	-1.5039	-0.57023	1.3724	-0.55438	-1.38887	1.56527	-0.14625	0.55387	-0.61037	1.02923	-0.75741	-0.66677	0.05503	-0.78533	-0.41069	-0.31229	-1.18117	-1.47055	-0.40023	-0.6385
c4249	pop05	3.57074	4.60601	1.28504	5.59139	1.07055	0.04301	0.11819	-1.03785	3.10328	-0.77901	0.15975	-0.90492	1.24948	0.01466	0.49277	0.42278	-0.38181	0.37962	0.4399	-0.29114	-0.22417	1.77363	-1.09811	-0.19503	0.70663	0.17074	0.49861	0.25866	0.51602	0.79171
c3009	pop03	3.62545	1.20072	4.36814	-0.07224	1.18541	0.1874	0.00769	1.50068	-0.92583	-0.50994	-1.05674	-0.5575	-0.77783	1.11931	-0.76135	0.20607	0.53806	0.56794	0.3741	-0.34854	-1.61944	-1.17329	-1.67661	0.76405	0.54013	1.30743	0.23168	-1.78188	-1.35596	0.79928
c4269	pop05	4.2441	3.57201	0.38928	3.31975	-0.37614	0.75479	0.62754	-0.59212	1.57937	-1.456	-0.06377	0.65901	-0.60929	-0.34035	-0.71269	0.3806	0.71739	-0.29821	-0.32268	1.36764	-0.23425	-1.11592	0.29641	-1.51729	0.02236	-0.97151	-0.19783	0.46598	-0.68071	-0.54226
c4007	pop04	-0.1284	4.69215	1.3019	4.26966	-0.18367	2.22229	-1.65266	-0.08636	0.11103	-1.24784	0.09036	-1.57865	1.51767	0.60617	-1.1021	-0.53793	0.88051	-0.7903	-0.93207	0.27586	-0.6797	-0.12171	0.21712	-0.63906	-0.12326	1.74225	-0.70496	-0.35965	-0.98335	-0.59548
c2871	pop02	6.57446	3.99739	0.6088	0.87731	0.39468	0.56023	0.08597	0.32531	-1.13389	0.41405	-1.79923	-0.42835	-0.89237	0.52499	0.27691	-0.37131	-1.97502	0.71663	0.17864	1.64229	0.75904	0.8791	-0.44986	-0.79372	-0.51958	0.15439	-0.73192	-1.26086	-0.24732	0.48502
c2792	pop02	5.63191	6.62616	-0.95568	-0.98153	-0.66106	-0.21541	0.33573	-1.56414	-1.58427	1.99181	-1.6391	-0.87792	0.43337	1.45197	-0.19099	0.65973	-0.10727	-1.66401	1.62009	-0.23054	-1.49666	1.58166	0.55844	-1.08148	0.8336	-1.01093	-1.18408	0.74037	1.61236	1.29331
c4366	pop05	6.07631	5.26434	-0.21595	4.01575	2.51111	0.176	-2.39995	-0.5157	-1.18711	-0.3506	1.59497	-0.73582	-1.9728	0.83227	1.28242	-0.39663	-0.28805	-0.28179	1.51995	-0.92911	-0.84123	-0.30885	-0.03211	0.56621	-2.32011	-0.24795	2.00695	-0.22201	0.36711	0.08557
c3414	pop04	-9e-04	4.34829	0.54697	7.43553	-0.75685	-0.17747	-0.06144	1.20739	-2.07593	-1.305	-0.16421	-0.76663	-0.19258	0.88254	0.42037	-0.37842	-1.04773	-0.33668	-1.15489	-0.00587	-0.49757	-1.87032	1.07474	-1.76396	-1.52795	-0.84422	1.96252	0.71242	0.06247	0.70263
c2756	pop02	3.78008	4.28945	0.71561	1.08596	-0.33638	1.1604	1.12912	-0.98856	1.05339	1.54573	-0.9918	1.09419	-0.04603	1.69038	-0.37367	1.86945	0.67356	-0.01365	-0.40699	-0.1179	-0.93773	1.6603	1.14018	0.41384	-0.51677	-0.75389	-0.38481	1.72459	-0.56703	-0.77023
c4728	pop06	-0.47445	5.30881	6.83035	-0.9712	0.03886	2.21173	1.77395	1.46372	0.87658	1.57758	-0.12819	2.50825	0.78426	-1.02951	0.32988	1.611	1.5628	-2.15051	2.02794	1.7859	-1.29218	1.72588	1.38094	-1.47212	1.82909	-0.93782	-0.36933	0.99512	0.14486	-0.04359
c4776	pop06	0.40898	5.01092	4.72086	-0.21626	-0.44915	-1.46353	-0.65396	1.52925	-0.88929	0.84878	-0.44895	0.17112	0.31057	1.67774	0.22951	0.25381	-1.76308	-0.26142	-0.79462	-2.85624	0.75136	-0.17331	-0.52982	-0.29486	1.71692	-0.0177	0.87152	-0.63416	-0.04408	1.5815
c2984	pop03	3.58616	1.10745	4.34675	-2.14957	0.38981	1.90326	1.11319	-0.70579	0.04271	1.39878	1.84266	-0.62699	0.24152	0.83964	0.06558	-0.74353	-0.71291	-0.3508	1.08876	-1.06766	-1.48276	1.37188	1.57429	-0.09931	-0.71345	-0.16696	-1.8534	0.136	0.6879	1.80175
c4800	pop06	0.28921	5.35189	2.64026	-1.16777	-0.36829	-0.06983	1.08413	-0.27556	-0.86945	1.45393	-0.90343	1.66229	0.81594	2.03166	2.2649	-0.506	0.64115	0.91431	0.64592	-1.26333	-0.33689	-0.29297	0.25823	1.25321	0.56452	0.62038	-1.11635	1.58782	1.44161	-0.44998
c4769	pop06	-0.01158	5.72934	5.35737	-0.14183	0.69671	-2.39779	0.93102	0.41852	-0.50294	-0.34014	1.16432	0.85325	0.29741	-0.93089	0.35984	0.10134	0.45838	0.47455	-0.41778	-1.62236	-0.8025	0.46202	0.24246	-0.77002	0.77852	1.59653	-1.70769	-0.03294	-1.11545	0.48692
c2961	pop03	6.57204	0.01648	5.56978	0.09471	1.22882	-0.0443	-1.0082	0.78298	1.47416	0.32272	0.41096	-0.3913	-1.42539	-1.52322	0.7786	1.39743	-0.66246	-0.14528	-0.62155	-1.05175	0.66616	1.42786	-0.23841	-0.08803	-0.00854	-0.72953	-2.21282	0.51339	0.61712	1.28478
c4954	pop01	-0.08724	-0.41821	2.10075	-0.00113	5.00329	-0.88171	1.13973	-2.29732	1.96752	-0.8076	0.10801	0.51191	1.61396	0.06578	-0.8967	-2.16262	0.80488	-1.22201	1.2985	-0.86477	-1.19321	-0.18023	-0.31349	0.70409	-0.4243	1.21599	0.26654	-1.19789	2.35231	0.82121
c4256	pop05	4.04561	5.9908	1.93327	5.55222	-0.00751	-0.61863	0.88373	-0.75182	-0.5466	0.15858	-0.8535	0.19459	1.50156	-0.5732	0.43868	-0.71667	-1.24197	1.12331	0.20729	-1.13686	-0.50618	-0.63853	-0.50918	-0.13662	-1.84873	0.06955	1.43685	0.19419	0.37553	1.42575
c2659	pop02	3.16629	5.55019	0.59653	2.70145	-1.85577	-1.58805	1.07993	-0.66143	-0.48994	0.85391	0.23628	-1.18659	0.05808	0.65728	-1.71604	-1.23086	1.22933	1.34748	-1.33935	-0.28143	-1.95268	-1.62948	-0.90903	-0.44591	-0.12302	0.38367	0.216	1.24883	-0.62062	2.00608
c2946	pop03	4.13394	1.70284	5.31089	0.79849	-2.54618	0.96039	0.46266	0.9678	-0.31267	-1.13002	-0.29493	0.72283	-1.48171	-0.31092	-0.34641	0.03025	0.28594	-1.03744	-1.78302	-0.54171	1.22263	0.97554	0.38741	-0.94018	-0.18684	-0.55634	-1.75058	-0.29603	0.93026	-0.82132
c4491	pop05	4.98076	5.83868	0.03406	4.95312	1.9099	1.09171	1.1585	-0.2804	-0.65914	-1.03531	-0.3292	-0.88046	-0.00166	0.90715	0.95328	-1.1874	0.68448	0.38164	-0.3976	-1.30965	-0.50884	0.62888	-0.07578	-1.87741	-0.90862	-0.30131	1.16036	1.37167	-2.12643	-2.23752
c2726	pop02	3.669	5.45714	0.56131	0.73146	-0.50221	-0.43529	-1.04335	0.02598	-1.2603	-1.09946	0.22329	0.21351	-0.27554	-1.15172	1.45892	-0.33668	0.71329	-0.88225	-0.59338	0.68988	2.34382	-0.65822	-0.53834	-1.27663	-0.1551	-0.68449	-1.69279	0.52846	0.82068	0.36581
c3517	pop04	0.05537	4.36683	1.16186	5.94038	-0.67889	-1.26877	0.86897	1.60231	0.84195	-0.74507	0.81706	0.95346	-0.71493	-0.26311	-0.39105	-0.88658	1.49455	0.49493	0.018	1.40831	0.16426	1.58427	-2.4746	1.09891	0.53055	-2.05283	0.50308	-0.60726	0.75802	-0.10584
