cluster_id	PPD00_BB078	PPD00_BB231	PPD00_BC641	PPD00_BD619	PPD00_BD620	PBD08_BB078	PBD08_BB231	PBD08_BC641	PBD08_BD619	PBD08_BD620	PBD28_BB078	PBD28_BB231	PBD28_BC641	PBD28_BD619	PBD28_BD620					
28	0.529	0.730	0.667	0.602	0.665	1.031	1.022	1.160	1.176	1.285	0.538	1.327	0.800	1.159	1.293					
29	2.381	3.123	2.667	2.503	0.852	4.039	4.319	2.940	2.511	2.316	2.704	2.572	1.663	2.904	0.835					
30	0.397	1.847	0.187	3.628	1.403	2.379	2.379	2.834	2.895	2.934	1.344	5.501	0.505	5.622	0.771					
31	1.029	4.635	1.147	5.199	1.966	3.105	3.768	3.094	3.196	2.601	1.186	3.480	0.484	2.244	0.303					
32	4.217	3.756	1.920	2.187	0.962	4.110	4.307	2.628	2.794	2.135	3.764	1.715	1.179	2.493	0.914					
33	0.382	0.343	0.133	0.057	0.082	4.071	3.929	2.225	1.725	1.528	1.028	0.633	0.484	0.274	0.800					
34	0.705	4.319	0.347	3.628	1.386	3.352	3.873	2.304	2.109	1.774	0.996	3.317	0.463	1.913	0.224					
35	1.190	4.459	1.973	2.438	1.778	2.587	2.578	2.553	2.588	2.677	1.281	2.368	2.084	1.951	3.125					
36	0.103	0.035	0.133	0.380	0.249	0.065	0.056	0.132	0.236	0.184	0.127	0.031	0.168	0.891	0.126					
37	1.896	1.372	3.867	1.240	1.990	0.992	0.917	1.393	1.193	1.372	1.439	1.368	2.863	1.328	1.798					
38	3.909	0.255	1.600	0.222	0.632	0.590	0.421	0.615	0.620	0.715	1.060	0.980	2.253	0.723	0.616					
39	1.631	0.378	4.987	0.316	0.860	1.543	1.289	1.393	1.382	1.323	2.610	0.776	4.905	0.586	2.169					
40	1.058	1.636	0.560	0.251	0.326	0.694	0.570	0.599	0.620	0.677	1.914	1.327	0.589	0.816	1.216					
41	0.294	0.756	0.507	2.209	1.068	0.259	0.254	0.434	0.425	0.455	0.253	0.112	0.232	0.530	0.026					
42	2.689	0.449	2.453	0.452	2.614	0.577	0.595	0.429	0.431	0.417	1.455	0.133	1.853	0.305	1.943					
43	2.101	0.158	2.907	0.172	1.060	0.434	0.521	0.567	0.514	0.514	0.759	0.174	1.389	0.243	0.937					
44	3.424	2.744	3.013	1.542	1.329	1.193	1.072	1.203	1.093	1.097	1.803	1.204	1.789	1.028	1.043					
45	0.220	0.097	0.347	0.151	0.273	0.227	0.167	0.498	0.384	0.524	0.348	0.071	1.495	1.022	1.580					
46	0.426	0.809	1.307	0.351	0.930	1.024	0.824	1.102	1.140	1.226	0.490	0.857	1.242	0.449	3.207					
47	0.882	0.413	0.747	0.488	0.885	0.473	0.539	0.487	0.461	0.476	0.791	0.439	1.011	0.748	0.703					
48	0.882	2.911	1.520	2.001	2.981	0.674	0.744	1.091	0.975	1.090	0.411	1.051	0.632	1.147	1.319					
49	3.350	1.205	3.307	1.004	2.271	0.655	0.490	0.498	0.502	0.399	1.408	0.684	1.768	0.960	1.208					
50	0.279	0.158	0.027	1.111	1.154	0.953	0.700	1.939	1.825	2.320	1.787	5.011	0.421	5.665	1.345					
51	0.220	0.633	0.213	0.459	0.069	0.583	0.694	0.519	0.396	0.222	2.040	1.459	1.684	1.508	0.848					
52	0.147	0.308	0.027	0.767	3.397	1.005	0.719	2.702	3.184	3.767	0.791	2.817	0.063	1.826	0.911					
53	0.338	0.053	0.293	0.394	0.163	0.324	0.248	0.387	0.461	0.406	0.712	0.071	0.526	0.985	0.340					
54	2.410	0.528	1.653	0.272	1.762	0.791	0.620	0.752	0.798	0.854	1.787	0.612	2.189	0.505	3.912					
55	1.749	1.838	1.307	0.860	1.435	0.525	0.440	0.583	0.532	0.688	0.712	0.561	0.337	0.455	1.043					
56	2.557	1.522	1.013	0.810	0.787	2.146	1.933	1.499	1.506	1.208	2.625	1.327	1.537	1.278	1.214					
57	0.044	0.132	0.187	0.072	0.049	0.201	0.143	0.201	0.213	0.118	0.917	0.633	1.916	0.536	0.948					
58	2.351	0.897	1.707	0.215	0.938	1.180	0.936	1.669	1.766	2.285	3.638	1.357	4.316	1.346	7.280					
59	0.235	0.924	0.667	0.753	0.200	0.642	0.793	0.567	0.502	0.319	1.170	1.643	1.811	1.271	0.087					
60	1.176	0.950	0.827	0.394	0.555	0.921	0.669	1.028	1.205	1.299	1.170	1.143	0.779	1.228	2.617					
61	1.969	0.176	1.120	0.100	0.159	0.473	0.316	0.371	0.402	0.253	0.474	0.806	1.474	0.380	0.145					
62	1.954	0.457	1.973	0.459	1.130	1.044	1.103	0.985	0.963	0.767	1.170	0.929	2.884	0.735	1.106					
63	0.691	1.135	1.307	0.753	0.318	0.869	0.675	0.524	0.567	0.420	0.901	0.959	1.095	0.729	0.471					
64	0.485	3.105	0.667	4.776	2.063	1.368	1.338	1.748	1.719	1.951	0.364	1.459	0.147	1.583	0.279					
65	0.882	0.396	2.240	0.165	0.657	0.849	0.861	0.985	0.874	0.892	0.996	0.653	3.200	0.467	1.072					
66	3.953	0.836	2.400	1.068	1.448	1.809	1.506	1.171	1.176	0.917	3.495	0.572	1.242	0.966	0.900					
67	1.058	0.273	0.533	0.115	0.918	0.395	0.260	0.524	0.419	0.635	1.534	0.888	1.411	0.511	4.099					
68	0.279	0.537	0.000	1.578	2.357	1.310	1.153	2.220	2.729	2.979	0.522	1.511	0.126	1.832	0.479					
69	0.250	0.176	0.213	0.143	0.306	0.486	0.390	0.657	0.561	0.618	0.822	0.602	1.053	1.035	1.640					
70	0.794	0.308	0.827	0.301	1.256	0.512	0.675	0.768	0.685	0.833	0.633	0.623	1.158	0.636	2.391					
71	1.249	0.325	0.907	1.047	2.304	0.590	0.409	0.948	1.353	1.455	0.633	0.214	1.095	1.913	2.546					
72	0.220	0.009	0.107	0.108	0.159	0.194	0.105	0.244	0.189	0.236	0.506	0.092	1.284	0.667	0.682					
73	0.632	5.515	0.853	5.708	1.158	2.139	2.937	2.336	2.280	2.177	0.206	1.990	0.253	1.290	0.137					
74	1.220	2.269	1.920	1.785	6.255	1.569	1.400	3.465	3.681	4.656	1.265	1.306	2.147	1.546	5.260					
75	0.294	0.264	0.320	0.366	0.126	0.720	0.595	0.678	0.608	0.406	1.661	0.929	1.474	1.527	0.871					
76	1.073	0.668	0.667	0.660	1.570	0.305	0.223	0.350	0.295	0.323	0.237	0.225	0.253	0.436	0.621					
77	0.500	0.246	0.960	0.308	1.550	0.201	0.192	0.201	0.325	0.299	0.285	0.133	0.526	0.324	0.590					
78	0.000	0.079	0.027	0.057	0.082	0.136	0.192	0.313	0.230	0.354	0.158	0.408	0.189	0.181	1.229					
79	0.015	0.167	0.027	0.057	0.175	0.201	0.136	0.339	0.414	0.497	0.348	0.694	0.316	0.573	2.285					
80	1.205	0.607	0.907	0.244	1.215	0.253	0.204	0.339	0.236	0.326	0.601	0.255	0.189	0.368	1.179					
