Naive gd-T_A_Spleen	Naive gd-T	A	Spleen	85.90	78.70	78.90	80.2	80.3	86.30	76.00	78.80	68.60	88.4	86.6	90.2	86.9	84.5	83.9	90.3	92.1	89.0	83.7	84.8	83.5	91.9	90.6	90.6
Late gd-T_A_Spleen	Late gd-T	A	Spleen	53.26	52.18	53.42	56.5	65.4	66.80	51.68	54.61	49.12	68.5	69.4	65.2	67.4	61.7	60.0	74.6	70.2	72.3	52.6	62.5	60.7	70.9	71.3	70.9
Early gd-T_A_Spleen	Early gd-T	A	Spleen	4.51	6.80	6.32	5.3	3.3	2.87	7.44	5.95	8.33	2.4	2.5	2.6	2.8	4.0	4.3	1.6	1.8	1.9	5.8	3.8	4.3	1.8	1.9	2.0
Ly6C+ gd-T_A_Spleen	Ly6C+ gd-T	A	Spleen	31.40	30.80	26.70	43.6	57.1	49.00	24.90	26.00	25.30	48.3	51.4	49.0	43.0	39.0	39.7	68.8	67.7	66.9	33.9	36.2	33.8	55.2	54.0	50.8
Monocytes_A_Spleen	Monocytes	A	Spleen	1.12	0.78	0.83	1.0	0.9	0.88	0.70	0.91	0.79	0.7	0.6	0.5	0.8	1.1	1.2	0.5	0.6	0.6	0.6	0.8	0.6	0.9	1.2	0.8
Granulocytes_A_Spleen	Granulocytes	A	Spleen	2.05	1.25	1.75	1.7	2.8	1.44	1.39	1.61	1.36	1.8	1.7	1.7	1.2	1.6	1.5	2.8	1.2	2.5	1.7	2.0	1.2	2.5	2.2	2.1
NKT_A_Spleen	NKT	A	Spleen	0.70	0.72	0.64	0.9	1.1	0.98	1.00	1.02	0.96	1.8	1.4	2.1	0.9	1.0	0.7	1.4	1.3	1.4	1.0	1.1	0.8	1.5	1.7	1.9
Ly6C NKT_A_Spleen	Ly6C NKT	A	Spleen	36.60	32.00	34.60	45.7	40.1	43.10	32.90	33.70	30.00	53.5	51.5	47.7	61.7	52.3	55.0	77.3	73.8	75.1	55.9	52.3	50.3	60.6	59.9	63.1
Klrg1+ CD4_A_Spleen	Klrg1+ CD4	A	Spleen	3.00	3.40	2.70	4.1	4.4	4.10	0.90	1.00	1.00	1.7	1.2	5.5	1.7	1.9	2.0	1.9	2.7	2.5	3.2	2.8	2.5	3.1	2.6	2.6
Klrg1+ CD8_A_Spleen	Klrg1+ CD8	A	Spleen	0.80	0.80	1.60	0.9	2.2	1.70	0.30	0.40	0.40	1.3	0.5	3.3	0.3	0.4	0.4	0.7	1.0	0.6	0.7	0.7	0.5	0.9	0.7	0.6
Klrg1+ gd-T_A_Spleen	Klrg1+ gd-T	A	Spleen	6.10	3.60	3.50	4.6	2.5	2.50	2.00	1.30	1.90	1.9	1.9	5.2	5.4	7.6	5.6	4.2	2.6	2.1	4.6	2.5	1.1	2.2	3.1	4.5
Klrg1+ NK_A_Spleen	Klrg1+ NK	A	Spleen	40.80	38.20	46.90	36.3	40.4	39.10	32.30	37.60	31.40	39.4	44.3	47.6	46.9	37.0	43.4	41.4	36.7	39.5	38.6	37.4	34.9	40.5	39.5	37.8
B cells_B_Spleen	B cells	B	Spleen	4.80	3.90	4.20	2.4	1.6	2.90	2.40	1.90	1.60	1.7	2.4	3.2	4.6	3.5	5.3	2.5	2.6	2.4	4.0	2.9	3.0	3.6	2.8	3.0
CD45Rhi_B_Spleen	CD45Rhi	B	Spleen	84.99	84.08	85.95	88.0	85.3	90.50	87.09	82.80	83.44	86.0	88.2	87.8	86.9	83.9	83.9	87.6	83.3	88.0	82.8	85.8	81.0	87.2	88.7	87.4
CD23lolCD21/35-_B_Spleen	CD23lolCD21/35-	B	Spleen	45.47	35.68	28.31	27.7	26.2	20.43	59.60	37.97	25.20	20.6	7.2	45.6	26.5	22.3	25.6	13.6	14.5	14.7	28.6	23.6	21.2	17.1	13.2	7.5
B Mem_B_Spleen	B Mem	B	Spleen	12.66	9.66	11.15	2.6	4.3	2.69	14.85	13.11	8.58	6.2	3.5	6.9	12.1	10.7	11.1	5.2	5.8	5.4	12.0	13.7	10.3	8.2	5.7	4.6
T1_B_Spleen	T1	B	Spleen	32.01	25.24	16.14	24.6	21.2	17.29	43.00	23.62	15.72	13.8	3.4	37.4	14.0	10.6	13.4	7.8	8.0	8.7	15.4	9.0	10.2	8.3	7.1	2.8
CD23hiCD21/35int_B_Spleen	CD23hiCD21/35int	B	Spleen	20.81	33.44	43.46	35.3	41.5	44.80	15.29	37.12	50.36	47.8	70.2	16.1	51.0	52.0	46.7	61.6	57.7	60.5	45.3	54.2	52.7	59.4	62.5	69.2
T2_B_Spleen	T2	B	Spleen	1.36	1.65	2.79	0.6	0.9	0.82	1.23	2.78	2.81	1.7	1.9	0.6	3.8	3.5	3.4	2.5	2.4	2.3	3.6	6.0	3.7	3.1	2.3	3.7
T3 + FO_B_Spleen	T3 + FO	B	Spleen	19.12	31.34	39.90	34.5	40.2	43.64	13.76	33.67	46.74	45.5	67.6	15.3	46.5	47.7	42.5	58.4	54.6	57.6	40.9	47.0	48.1	55.6	59.5	64.7
CD23loCD21/35hi_B_Spleen	CD23loCD21/35hi	B	Spleen	13.31	8.32	7.35	16.4	12.0	17.24	10.27	5.39	5.90	13.8	8.4	23.2	4.2	5.3	6.4	8.8	7.3	9.4	5.8	5.0	5.9	9.2	10.8	8.5
MZB_B_Spleen	MZB	B	Spleen	7.21	5.48	5.04	5.9	6.8	9.07	6.02	2.96	4.45	9.9	6.6	11.2	2.8	3.7	4.5	5.9	4.3	6.3	4.0	3.4	3.6	5.7	6.5	6.4
Plasmocytes_B_Spleen	Plasmocytes	B	Spleen	0.07	0.66	0.03	0.0	0.1	0.02	0.02	0.04	0.03	0.0	0.0	0.0	0.3	0.1	0.1	0.2	0.5	0.6	0.4	0.1	0.2	1.2	0.7	0.9
CD45Rlo_B_Spleen	CD45Rlo	B	Spleen	4.28	5.01	4.35	3.1	5.6	2.14	4.05	5.00	5.54	3.9	3.7	3.2	3.4	3.8	4.5	2.4	4.6	3.6	4.4	3.9	5.7	3.2	3.4	3.9
B1a_B_Spleen	B1a	B	Spleen	1.59	2.03	1.68	0.2	3.5	0.32	1.37	1.76	2.30	0.6	0.8	0.6	1.0	1.3	1.1	0.5	0.5	0.8	1.2	1.3	2.3	1.2	1.4	1.3
pre-B_B_Spleen	pre-B	B	Spleen	2.62	2.88	2.57	2.8	2.0	1.78	2.63	3.15	3.15	3.2	2.8	2.5	2.3	2.4	3.3	1.8	4.0	2.7	3.1	2.5	3.4	1.9	1.9	2.5
Granulocytes_C_Spleen	Granulocytes	C	Spleen	1.11	0.86	1.35	1.24	1.99	1.07	0.92	1.52	0.91	1.2	1.6	1.2	0.9	1.0	0.9	1.9	1.1	2.1	1.4	1.4	1.0	1.9	1.4	1.5
T cells_C_Spleen	T cells	C	Spleen	28.55	29.75	33.40	24.69	23.34	24.72	31.90	30.00	28.37	30.2	32.8	31.7	34.1	33.9	30.8	26.1	31.0	24.7	33.1	31.2	31.2	28.1	28.6	30.7
Eosinophils_C_Spleen	Eosinophils	C	Spleen	0.23	0.32	0.38	0.32	0.64	0.55	0.44	0.48	0.52	0.5	0.3	0.4	0.3	0.2	0.2	0.6	0.4	0.8	0.5	0.7	0.4	0.3	0.7	0.6
Monocytes_C_Spleen	Monocytes	C	Spleen	0.48	0.48	0.58	0.75	0.74	0.78	0.46	0.72	0.54	0.6	0.7	0.4	0.6	0.7	0.8	0.4	0.4	0.5	0.4	0.6	0.4	0.6	0.7	0.6
Macrophages_C_Spleen	Macrophages	C	Spleen	0.19	0.17	0.22	0.04	0.04	0.05	0.18	0.23	0.26	0.0	0.1	0.0	0.4	0.3	0.5	0.2	0.1	0.2	0.3	0.3	0.4	0.1	0.1	0.1
pDC_C_Spleen	pDC	C	Spleen	0.51	0.41	0.35	0.32	0.63	0.33	0.29	0.44	0.37	0.5	0.5	0.4	0.4	0.4	0.4	0.3	0.4	0.3	0.4	1.2	0.4	0.5	0.4	0.5
CD4+CD8-_C_Spleen	CD4+CD8-	C	Spleen	38.50	39.60	39.00	36.90	34.90	31.70	37.00	40.40	40.40	37.5	42.4	35.8	37.4	38.8	38.2	32.4	39.5	34.9	43.2	49.9	49.9	45.4	45.4	49.1
CD4-CD8-_C_Spleen	CD4-CD8-	C	Spleen	25.90	26.10	31.40	36.50	26.70	39.30	30.10	23.00	24.20	36.4	36.3	41.7	26.3	30.4	32.7	33.9	31.2	32.5	26.2	12.2	19.7	27.1	24.8	31.1
CD4+CD8+_C_Spleen	CD4+CD8+	C	Spleen	30.40	28.70	23.50	20.70	33.10	21.80	27.80	31.70	29.90	17.6	14.8	16.4	30.2	25.2	24.2	26.0	23.5	26.6	25.9	35.0	26.6	23.2	25.5	14.9
cDC_C_Spleen	cDC	C	Spleen	2.30	2.07	1.87	1.28	1.02	1.49	1.92	1.93	2.52	1.5	1.5	1.7	1.9	1.9	2.3	1.3	1.2	1.2	1.8	2.2	2.2	1.6	1.3	1.6
im cDC_C_Spleen	im cDC	C	Spleen	55.14	54.41	53.76	41.76	32.82	46.99	51.66	52.73	50.20	48.7	45.4	42.3	51.6	46.0	46.8	44.4	44.7	41.0	46.1	48.9	46.2	40.0	34.7	40.0
CD8a Type im cDC_C_Spleen	CD8a Type im cDC	C	Spleen	25.07	23.42	21.88	20.34	39.57	17.04	19.23	18.74	19.69	16.8	8.9	13.4	13.1	18.2	13.0	13.3	10.3	9.2	8.1	8.3	8.1	10.8	6.4	7.4
CD11b Type im cDC_C_Spleen	CD11b Type im cDC	C	Spleen	74.04	75.50	77.21	77.95	58.85	81.80	79.70	80.07	78.93	81.5	89.6	85.0	86.0	80.8	85.8	85.7	88.4	89.4	91.1	90.7	90.8	88.1	92.7	91.6
mat cDC_C_Spleen	mat cDC	C	Spleen	21.43	24.92	25.86	35.41	32.92	32.03	26.15	23.38	23.37	28.0	27.6	31.3	33.9	33.5	29.1	37.7	35.1	37.4	33.3	29.4	29.5	30.2	33.9	38.4
CD8a+ Type mat cDC_C_Spleen	CD8a+ Type mat cDC	C	Spleen	13.20	12.80	10.50	14.50	21.50	13.70	12.10	11.70	8.90	14.2	15.8	17.6	7.7	9.6	9.4	13.4	13.1	11.9	9.2	7.9	6.4	16.5	13.9	13.9
CD11b+ Type mat cDC_C_Spleen	CD11b+ Type mat cDC	C	Spleen	85.90	86.20	88.50	84.60	76.40	85.20	87.00	86.90	90.30	84.2	83.3	81.2	91.7	89.7	89.5	85.8	85.6	87.5	89.9	90.7	92.6	82.4	85.2	85.3
