FeatureId	Sample02	Sample04	Sample06	Sample08	Sample10	Sample12	Sample14	Sample16	Sample18	Sample20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f0997	4.3298	2.8432	2.9907	1.558	2.7985	1.7804	3.8393	3.8867	0.9585	4.0029	-0.496	-0.121	-0.9205	0.4615	0.5318	0.8524	-0.1473	1.2734	0.3788	3.0727
f0844	-0.2522	0.6907	-0.6331	0.0687	-0.2009	-0.0047	0.6293	-0.8603	0.7807	0.6828	-0.1747	0.9145	1.0451	0.4873	-0.5915	-0.0582	0.7566	-0.8726	0.3047	-0.8462
f0330	1.342	0.2646	0.4727	0.273	0.6052	-0.6436	1.144	-0.1165	0.9317	-0.8147	-2.7947	0.0351	-2.3926	0.2041	-0.6214	0.3766	1.0981	-1.2192	-0.2785	-1.0003
f0467	-0.9814	0.2807	-1.6528	0.3451	1.9131	-0.5417	-1.8561	-1.4754	0.286	-0.0057	-1.1083	0.1047	0.1706	-0.2618	-0.8856	0.8002	1.1187	0.8163	1.5282	-1.3535
f0580	1.1406	1.648	0.5081	0.6532	0.201	-0.2913	-0.7317	-0.863	0.1166	0.9784	-0.3364	1.2459	-0.7419	-0.5667	1.5985	-0.0291	-0.9927	0.337	2.063	0.1603
f0477	0.0041	-0.5632	-1.3087	1.1545	-0.1537	-0.2952	-1.0117	-0.802	1.8148	1.3893	0.2798	2.1072	-0.4189	1.5843	-0.4712	0.2484	-0.4396	0.7234	-1.2233	0.426
f0179	-1.814	-1.5384	-0.2141	0.303	1.5529	-0.8048	1.5505	0.7469	-0.1274	-1.0043	-0.7128	-1.4549	0.468	-1.247	0.2692	-0.5642	-0.1844	-1.7824	-0.7403	0.1252
f0798	-0.8962	-1.6203	-0.3468	1.0958	-0.2072	1.2196	0.1403	0.9197	-0.0341	-0.8068	-1.0039	-0.1378	0.7046	0.2432	-0.5246	-0.3292	0.2045	0.3968	0.7143	-0.7468
f0644	0.5599	-0.4561	-2.1592	-0.0904	-0.2584	0.3499	1.0306	-0.3128	-1.0345	-1.4296	-0.1392	1.0989	1.5981	0.3452	0.8964	-0.7946	-0.2022	-1.1227	1.0731	-0.2315
f0764	0.4966	-0.0442	0.671	-0.5067	0.3608	-1.0666	-1.2743	0.9857	-2.1911	0.9012	-0.67	0.5294	1.5817	-0.3803	-1.7087	1.0398	0.8458	0.4499	0.1974	-0.0375
f0103	0.3718	0.2821	-2.1551	-0.8275	0.3098	0.261	0.721	0.4007	2.0887	-0.0208	0.2719	-0.1496	-1.4201	-0.4982	-0.9557	1.1926	-0.344	-0.5622	0.7732	0.1671
f0695	-0.269	0.07	0.3946	0.6365	-0.1614	-2.6762	2.1893	1.6239	-0.7627	-1.5683	0.7732	0.0126	0.2412	-0.4737	-0.7564	-0.8854	-0.4831	-0.7141	3.0323	0.426
f0394	0.4583	0.4418	-2.0639	0.7625	-0.1464	1.5288	-0.7778	-0.9993	1.1631	0.6686	-1.8253	1.0092	-0.7042	-0.4488	0.7084	0.4086	-0.803	0.8447	1.1821	-0.0777
f0787	-1.0662	0.5296	-1.3474	0.3476	-1.437	0.0475	-1.3979	0.6519	-1.0813	0.6345	1.2333	-0.8975	0.7853	-0.3343	-0.4305	-0.6871	1.0404	0.1505	-1.5817	-0.5474
f0619	-0.1296	-1.5855	-0.0404	-1.5372	-1.1745	2.2606	-1.2926	-0.3738	0.5842	0.2511	-1.5352	0.8298	0.9723	-0.142	0.6485	-0.2457	-0.8536	-0.3687	-1.1157	-0.1595
f0749	-1.5967	-0.4658	-0.2294	-0.8274	-0.335	-0.1239	1.4168	0.4563	-1.3492	-0.1226	-1.2265	-1.0195	-0.6334	0.4257	-0.0324	-0.4516	1.1117	0.2008	-1.3602	0.3713
f0528	1.4107	2.812	-0.5758	0.7793	-0.6602	-1.1179	-1.2254	-0.8696	-0.8003	-0.0418	0.4976	0.9361	-0.2744	0.6716	-2.1566	-0.1527	0.6953	0.1429	-0.3171	0.0407
f0505	-0.445	0.1432	0.6068	-1.0328	-1.6262	0.0704	-0.853	0.5216	1.3895	-0.2298	0.3645	0.7152	-0.0608	0.4316	1.7134	-0.6846	2.3449	0.8831	-1.1394	-0.6931
f0753	1.5476	-0.8615	0.565	0.0028	-0.7123	0.2295	0.5085	0.7195	-1.0996	1.0659	0.1527	-0.5962	1.276	-0.1116	-0.0625	0.7164	-0.5753	1.7854	0.707	0.2578
f0022	-0.0362	-1.0503	-0.2295	0.0164	1.0863	-0.9685	-0.831	0.7057	-1.0859	0.5702	-0.9023	-0.1323	1.6965	0.0853	0.6636	-0.8852	0.1187	0.2118	-0.0645	0.9833
f0454	-0.219	-1.2123	0.5633	0.8881	-0.0935	0.6658	-0.1441	1.1345	-1.1304	0.7376	0.4651	-0.5747	-0.5786	-0.344	0.798	-0.3347	-0.9073	-0.2225	0.0504	-1.2346
f0696	1.9564	0.4767	0.5145	-0.3403	-0.6365	-0.9642	-0.5087	0.7997	-0.5801	-1.2176	0.4887	-1.0625	-0.8595	-1.6449	-0.483	-0.5412	-1.1565	-1.1968	0.0166	-1.2395
f0658	0.7661	-0.2981	1.6592	-1.2527	-0.0027	0.2499	0.3155	-0.4975	0.5674	1.8639	0.4824	-3.5153	-0.8134	-0.2118	-1.1397	0.5565	1.7108	0.7268	-0.2038	0.5735
f0453	0.5643	0.4761	0.6159	1.1177	0.747	0.1055	0.3786	-0.5373	-0.4601	0.2041	0.4946	-0.4531	1.1301	-0.5605	0.8367	1.5603	0.9024	-0.6626	-0.0385	-0.3168
f0816	0.9811	0.634	-0.9628	0.7559	0.5896	1.2499	0.6555	-0.075	-0.7865	0.8622	1.3607	0.267	0.109	-2.7413	-0.5331	-0.1063	0.3515	-0.9218	-1.0027	0.0962
f0414	-1.0939	0.9956	1.0102	0.9975	0.2184	-1.4957	-0.3349	-1.3593	-0.3566	-0.0849	-0.5389	-0.3998	-1.6927	0.5948	2.5001	1.9419	0.292	0.8385	-1.1187	-0.6562
f0231	-1.1104	-1.7374	0.4461	1.6831	-1.2024	-0.1869	-0.6983	2.231	-0.0599	-1.2161	-0.8607	-0.418	0.115	-0.169	1.1859	0.4967	-0.0621	0.8169	0.0836	-0.3645
f0066	-0.6939	-1.0508	-0.574	-1.5671	-0.1116	0.4991	0.5464	-0.5951	0.311	1.9303	-1.4603	0.1614	-1.5391	-0.4534	0.2944	0.7423	-0.263	0.4396	1.1435	0.0971
f0093	-0.749	0.453	-0.8613	0.2139	0.4606	0.0029	0.4001	-0.5052	1.5813	-1.3372	0.198	1.0279	0.5181	0.4207	0.5852	-0.4031	-0.1163	-1.242	0.2848	0.5117
f0298	0.3793	-1.4666	0.437	0.3597	2.0608	-0.6994	-0.2448	1.8004	-0.324	1.8337	-0.3223	-0.2841	-0.2126	-1.704	0.021	-1.6366	-0.9561	-0.871	-0.2713	0.4179
f0488	0.9138	-1.2424	-1.8198	0.4818	-0.0789	0.8294	-0.1926	-0.3507	1.0896	1.0234	0.2275	-0.2063	0.3666	1.3585	-0.2549	0.2707	-0.9759	-0.2144	2.6004	-0.6343
f0622	-1.1332	-1.5624	0.2916	-1.8799	-0.4951	-0.3358	-1.705	-0.1236	-0.1405	-0.6461	0.6684	-1.4718	0.373	1.2481	2.0403	0.4065	0.8191	-0.4404	-3.0482	-0.3956
f0382	-2.0847	1.1093	0.8462	0.1525	0.199	0.8663	-1.538	0.7785	0.8393	1.4671	0.9889	0.686	0.4949	0.7689	0.4089	-0.4573	-0.5498	-1.0907	0.1387	-0.2046
f0857	-0.3238	-2.0379	0.8006	0.7243	1.4739	-0.4355	-0.7267	-0.4533	-1.2132	-0.1848	-0.0248	1.55	1.4405	1.2909	0.4295	-0.9407	0.299	2.6147	1.8626	0.8114
f0275	-0.464	2.2328	1.7015	-3.1154	0.238	-1.3937	-0.0556	2.3136	0.8703	0.7155	-2.0673	-0.0392	-0.9728	0.0179	0.2048	0.4503	-0.7156	-0.9774	0.0358	0.4511
f0430	0.4112	1.0205	0.761	-0.4489	1.0182	-0.0474	-0.2095	-0.8739	-2.4992	-1.1855	0.1727	-2.198	0.4109	1.3722	-1.1121	0.0825	2.089	0.2634	-0.4735	-1.1246
f0311	0.7831	-1.1421	1.3245	-0.1209	-0.08	1.5591	2.0078	0.452	0.6188	0.4814	2.219	0.641	0.5571	0.2023	0.9169	-1.9164	0.8443	-1.2061	1.7051	0.5371
f0608	0.5606	-0.4081	0.5514	-0.9321	-1.008	-0.248	-0.1924	1.0265	-0.3427	-0.2751	0.2266	0.51	-0.1802	0.0886	0.073	0.2837	-2.0146	2.9852	-0.17	-1.9527
f0240	-0.2373	1.3911	0.7756	-0.3045	-0.465	1.3619	-1.632	1.1591	-2.8131	-1.3502	-0.6581	-0.3273	0.1839	0.5338	-0.5244	0.3035	-0.5729	0.3751	-0.1761	0.1478
f0446	0.3588	-0.7723	0.4061	-0.1848	0.6286	-0.2984	-1.4716	1.1009	-0.1685	-1.9304	0.3144	0.3105	0.2396	0.0266	1.448	-0.6414	0.1979	-0.282	-0.3063	-0.2471
f0714	1.7239	-0.2489	1.1365	0.5837	-0.2015	-2.1013	0.3433	-0.3909	-0.9194	1.104	-0.0498	0.2233	0.3816	1.1712	-1.8719	-0.4823	-1.0024	-0.1967	0.2197	1.5034
f0078	1.1386	-0.4209	-0.7639	0.2267	-1.1575	0.183	-0.1391	-0.1601	0.1475	0.3207	1.5968	0.6798	0.1741	0.3083	0.2904	1.255	1.588	-0.6144	1.2897	0.8923
f0814	-0.0905	0.5889	0.9222	-0.0782	1.2166	0.502	0.7624	-0.1094	-0.3519	1.5113	1.1823	-1.0579	0.7089	1.3032	-0.818	-0.7698	-1.2743	-1.5345	-0.4828	1.3276
f0314	0.1691	0.3323	-0.2339	-1.2312	1.2597	0.5648	-1.7341	-0.61	-1.7193	-0.4406	1.1859	1.1741	1.1203	-0.4272	-2.3029	-1.75	-0.9115	-1.4619	0.2878	-0.2692
f0779	1.4086	1.4448	0.2611	-0.5465	-1.1251	0.5756	-1.1539	0.4038	0.5156	-0.3643	0.0875	2.3537	0.6857	0.1744	0.0835	0.4499	-0.8319	0.0421	1.0447	-0.9596
f0321	0.1545	-1.3034	-0.4691	-0.9751	-0.5444	0.0896	-0.628	1.3122	0.2339	-0.4976	-1.3425	-0.6935	-0.9461	-0.5117	0.5664	1.6199	1.0888	0.935	-1.9375	-1.0009
f0309	0.2293	0.1622	0.0254	2.3014	-0.6409	-1.3429	-0.2814	0.4829	-1.0297	-2.4196	-0.9104	-2.0359	0.2702	1.1617	0.5451	-0.8423	-0.5397	0.1233	-2.1128	-1.6415
f0440	0.6348	0.6999	-0.3398	0.8368	0.3314	-0.8644	-1.0072	2.2451	0.5672	-0.7743	-1.0436	-1.4733	2.1738	1.2612	0.4611	-0.7472	-1.4368	-1.4058	-0.0653	-0.5192
f0824	0.599	0.8393	2.0151	0.5237	-0.3947	0.6716	-0.631	0.8996	-1.9133	1.2704	0.0522	0.1336	1.8134	-0.4841	0.8498	-1.4828	0.3687	1.3684	-0.086	0.6904
f0797	1.2694	0.8225	1.3397	-0.6961	1.1549	1.3852	1.2458	0.5834	-0.5295	-1.5014	-0.2854	0.6027	-0.8456	2.8629	0.6599	0.828	0.3421	-0.0653	0.5662	-0.858
f0359	1.4662	-0.2247	0.2514	0.0198	-0.5639	0.5859	-0.1303	1.3962	0.1949	-0.5781	-0.6948	-2.0157	-0.8092	-1.1115	1.2658	-0.3015	-0.3002	0.4428	1.5084	0.6189
f0715	0.3695	-1.7948	1.0302	-0.981	-0.9395	0.6774	-0.8836	0.5579	1.2541	0.7185	-1.9505	-0.2206	0.1844	-0.715	1.0376	-0.7973	-1.0142	-0.8273	0.5542	0.3928
f0883	-1.1196	-0.9533	0.48	-1.9874	0.0328	0.8161	0.2992	-0.1583	-0.4016	-1.2006	-0.7468	0.6594	1.0478	-0.3635	-0.0522	1.3381	1.2764	-1.6758	1.1135	-0.6997
f0399	-1.6878	-0.6145	0.0953	-0.2695	-0.4434	-0.4471	-0.1574	-0.2598	-0.8172	-0.8332	-0.0741	-0.2428	-1.1014	0.7721	0.0418	0.2558	1.593	1.296	0.5438	-0.9782
f0654	1.4006	-1.2693	1.2401	0.9816	1.1157	-1.4625	-0.682	-0.97	0.321	-2.1561	0.4799	0.6152	-0.478	0.8173	-0.9208	-1.5683	-0.2085	-0.3742	0.9552	0.3059
f0366	-0.2703	-1.6819	0.3147	0.0925	-0.1688	-0.5859	1.2586	0.923	0.6051	-0.1593	1.4166	0.4111	0.0226	-0.1791	2.0917	-0.7667	-0.8361	-2.3601	-0.7659	0.0358
f0942	0.8274	1.9233	1.3105	0.6361	-1.9015	0.5433	2.6229	0.6402	-0.9473	0.4096	1.2098	0.7616	0.3907	1.9	1.2599	0.5789	1.7149	1.1221	0.3166	0.6677
f0692	0.0974	-0.0732	0.1584	0.3446	0.3656	-0.2359	0.7147	0.9026	0.4244	0.5166	1.4109	-1.7238	-0.0291	1.4795	-2.2475	0.6704	0.8091	-2.6207	-0.1162	-0.153
f0185	1.5134	1.6066	-0.4881	1.3378	0.4208	0.7984	-1.3235	-0.655	0.4917	-0.1689	1.4088	-2.4738	-1.6831	-0.9749	-0.6634	0.3974	0.1264	1.2843	0.0673	0.7013
f0649	-0.0665	1.1173	0.9627	0.6448	0.5249	-1.0642	0.0773	0.9951	-1.4566	0.4517	0.0864	2.0334	-1.1435	0.4372	1.9078	2.0909	0.2005	0.0051	-0.7204	1.1128
f0110	-1.4417	1.417	0.1432	-0.2335	0.544	-0.8148	-0.0117	1.0506	0.6961	0.9248	-0.813	-0.5545	0.8976	0.6257	1.011	1.1161	-2.0981	-0.9068	1.6416	-0.6057
f0223	-1.3094	0.7727	0.6737	0.4578	-0.8916	2.367	0.8875	0.009	-1.4868	1.5904	-1.0681	0.1295	0.0567	-0.1008	-0.3767	-1.6062	0.2337	-1.2641	0.0509	-0.4543
f0130	0.0254	-0.6059	-0.0301	1.2527	-0.4081	-0.1354	0.9662	-0.5356	-0.0763	0.5727	0.2576	0.0781	0.148	0.3695	0.1162	0.1303	-1.2374	0.18	0.6172	-0.1469
f0217	-1.7083	-1.3363	0.9006	-2.1124	-0.5536	-1.5374	0.0237	0.9959	1.5842	0.7463	0.0461	1.03	1.8963	-0.1551	0.7037	0.3229	2.0392	0.2461	-0.0698	-0.3956
f0053	-0.2836	-0.1046	-0.0649	1.0817	-0.8384	0.4474	-0.2507	-0.2416	-0.2608	0.8141	-1.0352	-0.5682	0.4095	0.0998	0.5052	0.9012	0.7417	1.7493	0.5969	-0.4412
f0582	0.7673	-2.7679	0.5217	-0.6859	-1.3005	1.2545	0.5214	0.0692	-1.6933	0.7663	0.713	0.3994	-0.6592	-0.5788	-0.7124	-0.2646	-0.2055	-1.0171	-0.9099	1.6336
f0793	-0.3654	1.064	1.163	0.1442	-2.0134	0.8733	0.1497	-0.7791	-0.331	0.2559	1.1661	0.3497	-0.5125	-0.0135	-1.9225	-0.4268	-0.6841	-1.6365	-1.0507	1.288
f0704	0.5497	-0.6728	1.7984	-0.702	-0.824	1.0343	-0.7661	-0.8646	-0.0154	-0.3262	-0.001	0.2271	0.3548	-0.2724	-1.4067	-0.7961	0.0089	1.3256	0.3841	0.6806
f0720	-1.6482	0.3317	-0.6611	-1.2321	-0.2234	0.6559	-0.0536	0.9833	-1.3035	-1.9314	-0.5014	-0.2912	-0.1812	-0.0634	0.1212	1.9162	0.5554	-0.1538	-0.1727	0.4288
f0411	-1.4438	0.8208	-1.5033	-0.624	1.2509	0.2099	1.4084	-0.5275	-0.2391	-0.0383	1.5071	-0.7	0.7529	-0.9481	1.5072	0.6749	-0.7606	-2.7607	0.9667	1.6234
f0369	-1.428	-1.2652	0.6272	0.5575	-1.5948	0.686	0.7287	1.3822	-0.0569	0.4864	0.698	0.7426	0.164	0.6667	-0.3308	0.8183	1.7831	-0.8055	0.2539	0.2635
f0730	-0.421	1.0405	1.6741	0.0346	-0.5517	1.0302	0.7319	-0.8303	1.8456	-0.5287	0.9334	-2.2297	-1.2701	-0.5478	-0.6742	1.3646	2.5519	0.5932	1.1121	0.9647
f0544	-1.7181	0.3061	0.3643	0.6449	-1.0735	-1.1379	-0.5017	0.7073	-0.0721	-1.0584	1.8324	1.7286	-0.6053	0.2143	-0.4411	-0.9245	-0.7522	-0.5297	1.1388	1.0799
f0588	0.1365	-1.0305	0.286	0.9651	-0.1193	0.4405	-1.4358	-0.2869	1.0633	-0.092	-0.7701	-1.8586	-0.4147	-1.5774	-0.0965	0.1197	1.2952	-1.1196	-0.7986	-1.4422
f0317	-1.805	0.53	0.0917	0.2219	-0.8098	-0.0482	0.3711	0.7898	1.6514	1.0464	0.3539	-0.9532	-2.2117	1.4628	2.7831	0.8356	-0.0162	-1.2274	0.1612	-0.5076
f0242	1.0048	-0.8754	-0.0686	-0.6698	-0.7636	-0.7069	-1.0238	-0.2728	0.3481	1.5619	-0.7853	0.51	-0.5371	0.2119	1.2971	0.7557	1.2842	-0.1433	0.6725	-0.1159
f0889	-0.4125	-0.4305	-0.7681	-1.4339	-1.1587	-2.1993	-0.3407	-0.4316	-0.6477	-0.2262	0.4926	-1.2492	-0.667	-0.6527	0.1243	-2.3728	1.4013	-0.0958	0.7512	-1.6173
f0566	-0.2593	0.2935	1.9933	0.2059	0.3509	-2.7758	-0.2637	-0.9632	0.2905	-1.7512	-0.8185	1.8059	0.7592	-0.2802	-0.059	0.2704	-0.8512	0.4156	-0.5814	-1.8014
f0190	-0.462	-0.7519	-0.6152	0.3689	-0.6892	0.4205	0.9039	-0.3916	-0.2099	-1.1676	0.1998	0.9144	0.272	0.4976	0.3847	-0.4196	0.0123	-0.3215	0.7625	-0.2889
f0115	0.3986	-1.7632	0.4771	-1.988	0.9544	-1.7756	-0.2061	0.5046	-0.0043	-0.4154	-0.2708	-1.2462	-0.6647	0.7619	2.2612	1.5156	0.391	-1.0021	-0.9204	0.982
f0426	0.0607	0.1359	0.3559	0.9236	1.0705	-1.8957	-1.0048	0.7602	-1.4447	0.333	-0.0768	-1.5389	0.1606	-1.1537	0.8335	1.0373	0.4007	-2.1229	-0.9511	0.6533
f0823	-1.5236	0.9587	0.2235	1.6864	-0.8525	1.0557	1.1916	1.0976	-0.6094	0.841	0.9465	-0.3032	-1.048	0.4068	0.1453	-1.4427	1.7741	1.4865	0.051	-1.3106
f0532	-0.6071	-0.2517	1.1883	-0.7324	-1.8915	-0.3119	-0.1162	-0.5507	-0.877	0.2388	-0.4777	-1.2126	-0.9669	0.4986	-1.7647	1.021	0.8195	-1.179	0.9556	-0.7186
f0867	0.7979	-0.882	0.561	-0.5748	0.5686	-2.0336	0.5348	-1.0817	0.3517	-0.6239	-0.048	1.025	-1.3809	0.3897	-0.5408	1.1906	0.4046	0.5837	0.9678	-1.8383
f0912	-0.2758	0.1569	-0.961	-1.1182	1.4765	0.5534	-0.7818	-1.4651	-0.9955	0.7034	-1.5853	0.3831	-0.6738	-1.433	-1.3631	0.2784	-0.9716	-2.5964	0.8758	0.7077
f0316	-0.4841	0.3501	0.9312	0.6332	-0.3931	2.1071	0.0637	-0.0104	-1.1369	1.5559	-0.3889	-0.2927	-1.1331	0.5201	0.2445	-0.7889	-0.946	1.597	1.8095	-1.5311
f0939	-1.6413	-0.9969	-3.3359	-1.9028	-0.2812	-0.5036	-1.1755	-3.2741	-2.611	-3.0052	-0.2641	-1.372	-0.3594	0.3473	-0.0983	-1.1859	2.2011	0.2227	0.4749	-1.2854
f0131	0.6962	1.0284	0.0857	-0.286	1.2186	-0.0816	-0.4527	-1.0616	-1.929	0.9218	-1.6078	-1.2875	0.0379	-0.7998	0.4082	-0.7585	0.3668	-0.6817	0.8994	-2.0446
f0011	-0.0978	-0.7675	0.0837	0.1166	-0.9628	0.992	-0.5966	1.3466	-0.9882	0.9043	0.6224	0.5542	-0.6877	-1.2271	-0.2942	-0.1763	0.7562	0.0808	1.56	-0.7886
f0631	-0.531	-0.6092	0.8276	-0.4258	-0.4042	0.3668	-0.4358	1.0142	-0.8654	-1.0775	0.9312	0.9501	0.8879	-0.2457	0.6107	-1.0197	1.4868	0.5489	-1.2386	0.5841
f0091	-1.0012	0.6007	0.3953	1.6984	-1.1128	1.6024	0.0931	-1.8022	-2.1377	-0.3123	0.7034	2.2265	1.3479	0.4944	1.2298	-0.2459	1.0805	-0.1795	0.668	-0.3861
f0393	0.6316	-0.362	0.3898	-0.8732	0.1343	-0.8635	1.7934	0.2158	0.3851	0.2507	-1.0852	0.2184	-1.199	-2.2864	-0.4056	-1.1797	0.7889	-1.2673	1.0047	-1.5622
f0563	1.9386	1.0849	-3.0368	0.5702	-0.3878	1.1702	-2.29	0.0985	1.242	0.2839	0.1989	0.1519	2.2056	0.8334	-0.7203	1.0767	-1.7412	0.3133	-1.7534	0.6344
f0871	-1.2329	-1.8771	0.1637	0.834	0.2431	-0.5432	0.1616	-2.21	-0.9823	-0.8798	-0.4122	0.8889	0.2719	-0.5429	0.1101	2.1111	-0.6261	0.5664	1.6448	0.011
